Wavelength	LMW7 profile 200003.asd
350	 6.70596744550808E-02 
351	 6.71360129217563E-02 
352	 6.12600529793203E-02 
353	 5.58757683219792E-02 
354	 5.71475091320865E-02 
355	 6.10441988520174E-02 
356	 6.20600959304777E-02 
357	 5.80033963194056E-02 
358	 6.05509911232474E-02 
359	 6.04191686536805E-02 
360	 0.057516283724525 
361	 5.74896092871708E-02 
362	 5.56956117218097E-02 
363	 5.76669427109545E-02 
364	 6.36331996138445E-02 
365	 6.40747232964478E-02 
366	 5.97831465194219E-02 
367	 5.63695546669588E-02 
368	 5.86642170312463E-02 
369	 6.30744945143433E-02 
370	 6.41064714437708E-02 
371	 6.20605742009157E-02 
372	 6.11790230676292E-02 
373	 6.15527331945759E-02 
374	 6.15046767505089E-02 
375	 0.061313144852726 
376	 6.54941074455731E-02 
377	 6.39039844572731E-02 
378	 6.34429751972379E-02 
379	 7.06024881521167E-02 
380	 6.74142673850076E-02 
381	 6.50106723188404E-02 
382	 6.71496298110602E-02 
383	 7.08178842349942E-02 
384	 0.071348845717022 
385	 7.04658685667285E-02 
386	 0.070471493829782 
387	 7.27797107412707E-02 
388	 7.61274167270927E-02 
389	 7.82864311542104E-02 
390	 7.79957079227797E-02 
391	 7.94515639298451E-02 
392	 0.081783053732615 
393	 8.42578242708835E-02 
394	 8.64932444075889E-02 
395	 0.088315925473512 
396	 8.99244774367208E-02 
397	 9.16956257917398E-02 
398	 9.43091174043673E-02 
399	 9.73940036197273E-02 
400	 0.100540340492405 
401	 0.103277578238528 
402	 0.10500366963397 
403	 0.106059296751306 
404	 0.10757703129509 
405	 0.111234853539493 
406	 0.113499088818318 
407	 0.116101221251102 
408	 0.119745002100233 
409	 0.11948797098519 
410	 0.120923414571233 
411	 0.123650691981542 
412	 0.124930359057659 
413	 0.127504540891608 
414	 0.129019531196153 
415	 0.12906958572115 
416	 0.130205126042188 
417	 0.131204713738779 
418	 0.131843056109934 
419	 0.132116143160454 
420	 0.131985143268812 
421	 0.131423392379834 
422	 0.131088923399769 
423	 0.131819619168368 
424	 0.131517898115609 
425	 0.13062422920654 
426	 0.12968098664983 
427	 0.128758700953913 
428	 0.127775285721805 
429	 0.126613610891676 
430	 0.125277060543848 
431	 0.124416844447787 
432	 0.12348174647989 
433	 0.122512591260965 
434	 0.122139099674168 
435	 0.122012968933722 
436	 0.12208802482293 
437	 0.122388616736168 
438	 0.12292536172548 
439	 0.124117897618071 
440	 0.125723157612459 
441	 0.127220145532353 
442	 0.128828992614308 
443	 0.130623595245286 
444	 0.132616188037035 
445	 0.134739165967511 
446	 0.136993077341067 
447	 0.139152026524482 
448	 0.141077480702613 
449	 0.143224173229007 
450	 0.145620376186576 
451	 0.14799839300677 
452	 0.149913714084853 
453	 0.152253737856166 
454	 0.15460566967248 
455	 0.156638128301864 
456	 0.158810409129946 
457	 0.16078288511081 
458	 0.162504299117912 
459	 0.164088281494895 
460	 0.165853684009152 
461	 0.167466821888183 
462	 0.16893624755639 
463	 0.17084287193732 
464	 0.172121625038024 
465	 0.173251973596257 
466	 0.174827185224394 
467	 0.176059181886222 
468	 0.177230035328414 
469	 0.178367239265911 
470	 0.179310048987216 
471	 0.180590615179948 
472	 0.181776979466909 
473	 0.182662422720979 
474	 0.183984903877615 
475	 0.185068284512593 
476	 0.185834681171345 
477	 0.186528445963857 
478	 0.187619712165361 
479	 0.188761513020759 
480	 0.189697243093908 
481	 0.190387476224097 
482	 0.191457036059313 
483	 0.192579654034219 
484	 0.193367051580953 
485	 0.194373906979979 
486	 0.195252447510395 
487	 0.195977767892148 
488	 0.196801369175028 
489	 0.197630578166674 
490	 0.198494779414693 
491	 0.199406421866125 
492	 0.200303396699658 
493	 0.201110141426565 
494	 0.201860010731996 
495	 0.202654186377707 
496	 0.203652391382221 
497	 0.204605862829727 
498	 0.205407136434542 
499	 0.206212192134302 
500	 0.207017322428365 
501	 0.207805000930925 
502	 0.208562876620913 
503	 0.209335893196425 
504	 0.210137715335736 
505	 0.210956489547339 
506	 0.21176231582541 
507	 0.212630096692251 
508	 0.213471605252654 
509	 0.214223847890886 
510	 0.214978281608301 
511	 0.215680841576992 
512	 0.216417499851221 
513	 0.217304579616922 
514	 0.218015150789714 
515	 0.218673098749653 
516	 0.219387517579849 
517	 0.220151166546751 
518	 0.220963751334641 
519	 0.221719922370853 
520	 0.22235392438777 
521	 0.223181933539308 
522	 0.223997496630666 
523	 0.224696375969394 
524	 0.225315330472558 
525	 0.226045105875678 
526	 0.22679174545092 
527	 0.227466346305739 
528	 0.228229537525105 
529	 0.228937831685608 
530	 0.229583967016565 
531	 0.230256079988351 
532	 0.231015399874887 
533	 0.231806582859985 
534	 0.23257183823627 
535	 0.233284487352192 
536	 0.233958966932859 
537	 0.23463531958236 
538	 0.235352423974229 
539	 0.236068271010191 
540	 0.236789063311712 
541	 0.237490571964905 
542	 0.238098455679803 
543	 0.238834294326978 
544	 0.239595124347741 
545	 0.240252079461613 
546	 0.240959631995602 
547	 0.241692257965591 
548	 0.242439171193543 
549	 0.243201796058797 
550	 0.243850482020755 
551	 0.244554734193812 
552	 0.245410541283499 
553	 0.246182436206355 
554	 0.246970410492682 
555	 0.247770788822109 
556	 0.248534883667864 
557	 0.249307346851481 
558	 0.250080661308869 
559	 0.250877523930171 
560	 0.251801075838889 
561	 0.25255889209737 
562	 0.253292975559133 
563	 0.25423923389866 
564	 0.255256541757461 
565	 0.256146871431781 
566	 0.256917295316122 
567	 0.257804068986034 
568	 0.258704190162167 
569	 0.259648127512308 
570	 0.260660538472354 
571	 0.261671072824559 
572	 0.262611634431655 
573	 0.263496320708584 
574	 0.264400313505637 
575	 0.265375220958545 
576	 0.266426093709433 
577	 0.267517860074823 
578	 0.268558528667057 
579	 0.269548307382563 
580	 0.270447882152382 
581	 0.271248085588204 
582	 0.272222046976519 
583	 0.273202077045645 
584	 0.274119510777901 
585	 0.275101544381988 
586	 0.276307208777178 
587	 0.277584285841516 
588	 0.27874037349788 
589	 0.27988017440116 
590	 0.281021029289442 
591	 0.282184843515395 
592	 0.283394229043649 
593	 0.284519331318446 
594	 0.285535494282529 
595	 0.286456290354916 
596	 0.287335258283094 
597	 0.288111798993121 
598	 0.288837473263209 
599	 0.289618448024598 
600	 0.29040753110567 
601	 0.291289825450538 
602	 0.29226305945255 
603	 0.293154578623683 
604	 0.293974483403273 
605	 0.294814373636873 
606	 0.295767518315166 
607	 0.296741406005041 
608	 0.297631759708232 
609	 0.298446262685888 
610	 0.299318576678509 
611	 0.300121460899135 
612	 0.300861668905892 
613	 0.301560575481868 
614	 0.302184084529513 
615	 0.302755826153555 
616	 0.303324005072198 
617	 0.303937694921181 
618	 0.304470690873589 
619	 0.304963868948401 
620	 0.30546007162513 
621	 0.305942726502537 
622	 0.306465427219553 
623	 0.306942908069761 
624	 0.307289738397232 
625	 0.307829320238788 
626	 0.3083152966489 
627	 0.3086580994259 
628	 0.309032784267341 
629	 0.309450672985104 
630	 0.309844524254664 
631	 0.310168804863936 
632	 0.310573410355975 
633	 0.310916713306943 
634	 0.311248279519481 
635	 0.311750675223932 
636	 0.312028609155579 
637	 0.312304443835912 
638	 0.312731302729116 
639	 0.313020048831952 
640	 0.313320116556619 
641	 0.313668395066599 
642	 0.314042992932675 
643	 0.314369521403828 
644	 0.314710952395309 
645	 0.315086091158056 
646	 0.3154312925865 
647	 0.315721180714079 
648	 0.316031442495951 
649	 0.316429346560392 
650	 0.316809768852754 
651	 0.317193268916828 
652	 0.317580476257636 
653	 0.317955024827922 
654	 0.318367819841897 
655	 0.318710628646278 
656	 0.318955519127579 
657	 0.319336681297106 
658	 0.319790301405855 
659	 0.320241459891068 
660	 0.320624455158567 
661	 0.321049413948251 
662	 0.321501731634456 
663	 0.321942182671308 
664	 0.322311578114904 
665	 0.322732066927466 
666	 0.323217288931603 
667	 0.323705887396085 
668	 0.323954509310463 
669	 0.324354970793888 
670	 0.324935926834845 
671	 0.325416209557699 
672	 0.325889150900706 
673	 0.326386957826886 
674	 0.326889737935124 
675	 0.327256043924768 
676	 0.327708377348995 
677	 0.328209902307715 
678	 0.328638141738941 
679	 0.329145329409269 
680	 0.32966758582487 
681	 0.330165812333615 
682	 0.330658578471541 
683	 0.331154358224421 
684	 0.33163860535933 
685	 0.332110143833616 
686	 0.332646967017598 
687	 0.333118954936768 
688	 0.333577714143296 
689	 0.334179728588842 
690	 0.334663222864407 
691	 0.335137697560004 
692	 0.335680648029155 
693	 0.336203317925258 
694	 0.3366510432038 
695	 0.337115176855962 
696	 0.337693001586458 
697	 0.338173822039192 
698	 0.338661731372719 
699	 0.339196609686751 
700	 0.339729162628911 
701	 0.340189810418288 
702	 0.340612088951247 
703	 0.341044746074419 
704	 0.341513480260223 
705	 0.341933044636313 
706	 0.342333271408441 
707	 0.34279299073951 
708	 0.343251221845681 
709	 0.343684105848216 
710	 0.344082719110605 
711	 0.344452965645778 
712	 0.344843319616331 
713	 0.345229547092223 
714	 0.345575045120122 
715	 0.345873094604315 
716	 0.346222092616616 
717	 0.346604930175438 
718	 0.346921122079424 
719	 0.347182913565455 
720	 0.347400549119032 
721	 0.347593037434305 
722	 0.347784089340202 
723	 0.348086015209589 
724	 0.348381270795181 
725	 0.348523263542136 
726	 0.348658379946726 
727	 0.348809209062825 
728	 0.348940362669794 
729	 0.348976985757728 
730	 0.349057900654335 
731	 0.34913268645858 
732	 0.349155695321141 
733	 0.349185899623 
734	 0.349132847414666 
735	 0.349029508915294 
736	 0.348951272402058 
737	 0.348887255015343 
738	 0.348771251323249 
739	 0.348601691394889 
740	 0.34844968269275 
741	 0.348257542172661 
742	 0.348059982310336 
743	 0.347868586321951 
744	 0.347573913369269 
745	 0.347297891448367 
746	 0.347035235914813 
747	 0.346727313963567 
748	 0.346407140634596 
749	 0.346099864029989 
750	 0.345761658980393 
