Wavelength	mm23-100006.asd
350	 5.42632784176307E-02 
351	 5.52722648589152E-02 
352	 5.18325052801674E-02 
353	 4.85374687456213E-02 
354	 5.54770974945968E-02 
355	 0.057817810748589 
356	 0.059214571806601 
357	 6.44420961617512E-02 
358	 6.30445685247422E-02 
359	 5.73582101681803E-02 
360	 5.49902582644753E-02 
361	 6.36451363469994E-02 
362	 5.70307444280292E-02 
363	 5.29899771157582E-02 
364	 5.87496679682188E-02 
365	 5.69348941604065E-02 
366	 5.51425879049398E-02 
367	 0.05517289643453 
368	 5.70495250159735E-02 
369	 6.07488554393873E-02 
370	 5.91898931077131E-02 
371	 5.62922252630325E-02 
372	 6.18877374324866E-02 
373	 6.10813818340064E-02 
374	 6.23246166833521E-02 
375	 6.80447534190842E-02 
376	 6.51485957703422E-02 
377	 6.11190074033138E-02 
378	 6.19751220209562E-02 
379	 0.06914426661927 
380	 6.69520058776266E-02 
381	 6.57621449431487E-02 
382	 6.77657839006626E-02 
383	 6.84307028117009E-02 
384	 6.86576091660525E-02 
385	 6.85856434093246E-02 
386	 6.90018845994599E-02 
387	 7.23082868308054E-02 
388	 7.36204599463706E-02 
389	 7.34536707063497E-02 
390	 7.37559188349909E-02 
391	 7.37752098645805E-02 
392	 7.61888149605766E-02 
393	 7.96730275424717E-02 
394	 7.98333809932422E-02 
395	 8.04793368681318E-02 
396	 8.17372649486668E-02 
397	 8.31816316707693E-02 
398	 8.45169214021696E-02 
399	 8.67750749131365E-02 
400	 8.89169912761415E-02 
401	 8.96722809730285E-02 
402	 9.10011215496082E-02 
403	 9.18754354673885E-02 
404	 9.26180188262797E-02 
405	 9.49722634941908E-02 
406	 9.62872318089187E-02 
407	 9.75347580421414E-02 
408	 9.93254308137076E-02 
409	 9.94161371715815E-02 
410	 9.91292562191544E-02 
411	 0.099652718596229 
412	 0.101657768206151 
413	 0.103066878896847 
414	 0.103274254485612 
415	 0.10286441492517 
416	 0.103670399142787 
417	 0.104107215881094 
418	 0.104370553710952 
419	 0.104841148714929 
420	 0.105074986842879 
421	 0.104772080854999 
422	 0.104437759742814 
423	 0.104917895106926 
424	 0.104848262802349 
425	 0.10450688802534 
426	 0.104140877324361 
427	 0.10347407623996 
428	 0.103333279856245 
429	 0.103073552827756 
430	 0.101961648189281 
431	 0.101308835733544 
432	 0.100708841119009 
433	 0.100395870933933 
434	 0.101203939336476 
435	 0.100934373100378 
436	 0.100286396870568 
437	 0.10016778242642 
438	 0.100423725522633 
439	 0.10124772391538 
440	 0.102195841204429 
441	 0.102631804782081 
442	 0.103131776480081 
443	 0.103920101636508 
444	 0.104902391054549 
445	 0.105564216429952 
446	 0.106548589345789 
447	 0.107530728715174 
448	 0.108151957436523 
449	 0.10911107044549 
450	 0.110297941849313 
451	 0.111321095711789 
452	 0.111660670747961 
453	 0.112370326731523 
454	 0.113248920750273 
455	 0.114026104801562 
456	 0.114873368060094 
457	 0.115457827010777 
458	 0.11587881885123 
459	 0.116414587865739 
460	 0.117066884561323 
461	 0.117371997861165 
462	 0.117452726890952 
463	 0.118303106572204 
464	 0.118840591503828 
465	 0.119025667140781 
466	 0.119189309132394 
467	 0.119916435091866 
468	 0.120332315301113 
469	 0.120315742293365 
470	 0.12039656472065 
471	 0.120886463675007 
472	 0.121232325063947 
473	 0.121155072535638 
474	 0.121362489245111 
475	 0.12165036332278 
476	 0.121913478542917 
477	 0.122092082524545 
478	 0.122245238765349 
479	 0.122461859788806 
480	 0.122737952598651 
481	 0.122939030745583 
482	 0.123290207974065 
483	 0.123631078604241 
484	 0.123802613647529 
485	 0.124121353505965 
486	 0.124289971269514 
487	 0.124324460496446 
488	 0.124500996911573 
489	 0.124727274497397 
490	 0.1249301085214 
491	 0.125093986629769 
492	 0.125358019349263 
493	 0.125494941348723 
494	 0.125529189925546 
495	 0.125622108354389 
496	 0.125965269635348 
497	 0.126288230072024 
498	 0.126471170038907 
499	 0.126685180305256 
500	 0.126804885512635 
501	 0.1269304853744 
502	 0.127147715958208 
503	 0.127169816734317 
504	 0.127314704058495 
505	 0.127600889208021 
506	 0.127767671150369 
507	 0.127951481564936 
508	 0.128085024599 
509	 0.12812843468546 
510	 0.128191563134305 
511	 0.12836423496817 
512	 0.128579812642006 
513	 0.1287001869814 
514	 0.128796323236586 
515	 0.12893445873531 
516	 0.129139656631808 
517	 0.129385395968187 
518	 0.129482455100679 
519	 0.129530205470492 
520	 0.129677768342647 
521	 0.129752303193404 
522	 0.129937629829998 
523	 0.13019361637196 
524	 0.130237042677444 
525	 0.130337818051611 
526	 0.130467184856325 
527	 0.13058125695253 
528	 0.130834411976074 
529	 0.130903450316002 
530	 0.130892705961857 
531	 0.131155326090453 
532	 0.131401000966663 
533	 0.131653039912502 
534	 0.131910178417141 
535	 0.132023441595389 
536	 0.132057806927381 
537	 0.132150716668979 
538	 0.132412626596051 
539	 0.132552758138475 
540	 0.132683713446052 
541	 0.132860961372634 
542	 0.133018057049719 
543	 0.133265600721381 
544	 0.133524809371334 
545	 0.133710885914865 
546	 0.13393802304454 
547	 0.134142607660889 
548	 0.134349559647388 
549	 0.134653044886338 
550	 0.134911686623357 
551	 0.135192295712298 
552	 0.13553653431983 
553	 0.135819047966968 
554	 0.136101919094596 
555	 0.136413711574411 
556	 0.136764239022487 
557	 0.137152588453313 
558	 0.137527551348799 
559	 0.13788427470568 
560	 0.13831003155695 
561	 0.138703565218332 
562	 0.139138516209849 
563	 0.139740325653519 
564	 0.140574444320231 
565	 0.141388986695444 
566	 0.142093424210733 
567	 0.14279788206464 
568	 0.143418857695897 
569	 0.143915477872359 
570	 0.144340396099072 
571	 0.145022049939804 
572	 0.145677444120067 
573	 0.146291234529824 
574	 0.14703724555022 
575	 0.147864507598261 
576	 0.148848966360188 
577	 0.150013150166497 
578	 0.151254307462141 
579	 0.152425522835467 
580	 0.153422743295682 
581	 0.154220813394569 
582	 0.155089589370654 
583	 0.155938962460048 
584	 0.156806469827244 
585	 0.157959411630391 
586	 0.159343439001891 
587	 0.160845931621947 
588	 0.162336158906756 
589	 0.163755478350701 
590	 0.165059224457368 
591	 0.166280580422017 
592	 0.167514869673515 
593	 0.168547381872926 
594	 0.169394835105433 
595	 0.170181346704933 
596	 0.171169789913121 
597	 0.172289614511922 
598	 0.173469649650253 
599	 0.174654775384864 
600	 0.175976213380409 
601	 0.177293594363571 
602	 0.178503327599567 
603	 0.179619930728693 
604	 0.180745584241168 
605	 0.181870490803246 
606	 0.182948229756957 
607	 0.183998449352317 
608	 0.184921089143091 
609	 0.185774293796016 
610	 0.186796224355358 
611	 0.187638794539691 
612	 0.188401130244805 
613	 0.189204858511564 
614	 0.189860681003063 
615	 0.190537274874693 
616	 0.191251638055338 
617	 0.191909876824794 
618	 0.192521349323374 
619	 0.193067747893203 
620	 0.193562886943199 
621	 0.194092290814353 
622	 0.194595763304808 
623	 0.195098100723379 
624	 0.195632892373341 
625	 0.196054128493081 
626	 0.196483270593246 
627	 0.196960894019822 
628	 0.197392789937051 
629	 0.197812822280106 
630	 0.198222301166563 
631	 0.198613513268544 
632	 0.198957121367168 
633	 0.199362174409217 
634	 0.199820068810038 
