Wavelength	MM700005.asd
350	 5.82317456683667E-02 
351	 6.07584569451411E-02 
352	 5.92477195476242E-02 
353	 5.54860131774668E-02 
354	 5.40054761853093E-02 
355	 5.75865357569059E-02 
356	 6.02430797415286E-02 
357	 5.76334476077197E-02 
358	 5.96785949419345E-02 
359	 6.13530461545525E-02 
360	 6.03481846775291E-02 
361	 5.70661936534703E-02 
362	 5.78017235920503E-02 
363	 5.77193700547863E-02 
364	 0.055534949918578 
365	 5.75663826816136E-02 
366	 5.96993518371704E-02 
367	 5.93768900867082E-02 
368	 5.63169449885976E-02 
369	 5.66238269819387E-02 
370	 5.73867615930962E-02 
371	 5.80934069988234E-02 
372	 5.98842760875241E-02 
373	 6.10215518414959E-02 
374	 6.18959324718917E-02 
375	 6.30807391911679E-02 
376	 0.065135458995842 
377	 6.41021318250037E-02 
378	 6.33500713150963E-02 
379	 6.63197969829186E-02 
380	 6.72320253162761E-02 
381	 0.065968758877532 
382	 6.48901134482518E-02 
383	 6.73822013087007E-02 
384	 6.66879154165151E-02 
385	 6.56316150501894E-02 
386	 6.63725029945485E-02 
387	 6.72796597026497E-02 
388	 6.67028687339249E-02 
389	 6.66748492828767E-02 
390	 6.89217654367821E-02 
391	 6.75375284814363E-02 
392	 6.63879523038402E-02 
393	 0.068160229801767 
394	 7.35200014831566E-02 
395	 7.34211812058154E-02 
396	 7.15805227506267E-02 
397	 7.18216484200176E-02 
398	 7.34890941193294E-02 
399	 7.51523536210215E-02 
400	 7.58145565482758E-02 
401	 7.51563910901644E-02 
402	 7.49326173981402E-02 
403	 7.55498387949215E-02 
404	 7.63727058859656E-02 
405	 7.59538257910441E-02 
406	 7.69033653721691E-02 
407	 7.81204217503534E-02 
408	 7.84211300576954E-02 
409	 7.82645549661287E-02 
410	 7.79600558527791E-02 
411	 7.82757086176459E-02 
412	 0.07979788260607 
413	 8.06503248844428E-02 
414	 8.06495233276476E-02 
415	 8.04351684822707E-02 
416	 8.14542668493707E-02 
417	 8.10884396436833E-02 
418	 8.07817499563213E-02 
419	 8.19061328012939E-02 
420	 8.22395260817442E-02 
421	 8.19361199938133E-02 
422	 8.18216223468512E-02 
423	 8.28840187654664E-02 
424	 8.32148092378621E-02 
425	 8.32127113696215E-02 
426	 8.32780178958069E-02 
427	 8.32599817130066E-02 
428	 8.28727937392902E-02 
429	 8.25515477415611E-02 
430	 0.082721854043471 
431	 8.25352854187621E-02 
432	 8.23314154739741E-02 
433	 8.21830045775043E-02 
434	 8.18732289907938E-02 
435	 8.20633316992408E-02 
436	 8.24144978570077E-02 
437	 8.24985372010583E-02 
438	 8.20918250250962E-02 
439	 8.22246620310045E-02 
440	 8.27418432649496E-02 
441	 8.29345663053188E-02 
442	 8.29723437801097E-02 
443	 8.31313381434894E-02 
444	 8.34547059046069E-02 
445	 8.36207822489222E-02 
446	 8.39063400118981E-02 
447	 8.42570536518296E-02 
448	 8.45464468684611E-02 
449	 8.47293723067077E-02 
450	 0.085154348520456 
451	 8.57476814826592E-02 
452	 8.60884732994684E-02 
453	 0.086335936655311 
454	 8.64292683785219E-02 
455	 0.086471369208427 
456	 8.71180743601212E-02 
457	 8.72970165708343E-02 
458	 8.71658218147055E-02 
459	 8.73691499529405E-02 
460	 8.75500952783019E-02 
461	 8.76907700164235E-02 
462	 8.78322508336703E-02 
463	 8.80637464100807E-02 
464	 8.80525809240184E-02 
465	 8.81239981915245E-02 
466	 8.85654436839247E-02 
467	 8.87786979252737E-02 
468	 8.88492812704803E-02 
469	 8.88709712907842E-02 
470	 0.088924505943527 
471	 8.89188067641297E-02 
472	 8.89709967953862E-02 
473	 8.91546781673998E-02 
474	 8.93914471829585E-02 
475	 8.94977245865672E-02 
476	 0.089512517716107 
477	 8.95667371346003E-02 
478	 8.95786090713494E-02 
479	 8.97684453842082E-02 
480	 9.00636656078587E-02 
481	 8.99548660387852E-02 
482	 9.01155611655845E-02 
483	 0.090346998652356 
484	 9.03381051252378E-02 
485	 9.03399842891822E-02 
