Wavelength	LMW7 profile 200001.asd
350	 6.36502113744454E-02 
351	 6.93987720598476E-02 
352	 6.84956056139577E-02 
353	 6.19914249653448E-02 
354	 0.067207904008797 
355	 6.47952586607687E-02 
356	 6.06209832151576E-02 
357	 0.062490754368487 
358	 5.90579713334696E-02 
359	 5.63857075929996E-02 
360	 5.73210422920211E-02 
361	 6.15452757118755E-02 
362	 6.17085350451593E-02 
363	 5.92167411147996E-02 
364	 5.72039869024823E-02 
365	 5.98616414740177E-02 
366	 6.05976051620475E-02 
367	 6.12305531624198E-02 
368	 6.42568677538428E-02 
369	 0.065804028440129 
370	 0.064129761165907 
371	 6.15639991094941E-02 
372	 6.25125142618864E-02 
373	 6.17995940433912E-02 
374	 6.13210306770849E-02 
375	 6.26943741459687E-02 
376	 6.57678583736894E-02 
377	 6.55289736084088E-02 
378	 6.44229775815467E-02 
379	 6.60420657928437E-02 
380	 6.84817096273726E-02 
381	 6.83833069243983E-02 
382	 6.79261689595623E-02 
383	 7.25245414120898E-02 
384	 7.25183092509136E-02 
385	 7.20810442172386E-02 
386	 7.40083669174969E-02 
387	 7.45913409279672E-02 
388	 7.58375445018327E-02 
389	 7.77355030677136E-02 
390	 7.98083783355473E-02 
391	 8.26777918932174E-02 
392	 0.084067249210618 
393	 8.48050033304038E-02 
394	 8.80817506756789E-02 
395	 8.99099125269664E-02 
396	 9.07289347063188E-02 
397	 9.17382141073698E-02 
398	 9.42861691792008E-02 
399	 9.62806522379915E-02 
400	 9.87457796019535E-02 
401	 0.102993574644316 
402	 0.105384368685 
403	 0.106792637103084 
404	 0.108642237204606 
405	 0.112426710626129 
406	 0.115104789612494 
407	 0.117336955864975 
408	 0.11961563960748 
409	 0.11979046546125 
410	 0.120884339625644 
411	 0.123193662389504 
412	 0.125609857038034 
413	 0.127397166179189 
414	 0.128540656085861 
415	 0.129289925440693 
416	 0.130089518559908 
417	 0.130531657674038 
418	 0.13098612497001 
419	 0.131707074662749 
420	 0.132063319027628 
421	 0.131411923272035 
422	 0.130713423830301 
423	 0.131613337922702 
424	 0.131450634495676 
425	 0.13071189082936 
426	 0.129922478106145 
427	 0.128859792935285 
428	 0.127832351072356 
429	 0.126664649766588 
430	 0.125216253560733 
431	 0.124368836003388 
432	 0.123267438545471 
433	 0.122085705725858 
434	 0.121987175272552 
435	 0.122056795360889 
436	 0.122186782440496 
437	 0.1224876659465 
438	 0.123197412899885 
439	 0.124248792163795 
440	 0.125578525338858 
441	 0.127117447049296 
442	 0.128772324096293 
443	 0.13062709654971 
444	 0.132627598039575 
445	 0.134456383820986 
446	 0.13675539458035 
447	 0.139088592451687 
448	 0.140961099928368 
449	 0.142977246606748 
450	 0.145390432412888 
451	 0.147966340668059 
452	 0.150109304898325 
453	 0.152333976093968 
454	 0.154367746273586 
455	 0.1561229131704 
456	 0.158306695145631 
457	 0.160360017522379 
458	 0.162176866178131 
459	 0.163880299944709 
460	 0.165713884873425 
461	 0.167396895163827 
462	 0.168839685407368 
463	 0.170278466034453 
464	 0.171734306874966 
465	 0.173145866610121 
466	 0.174459805908346 
467	 0.175773451628831 
468	 0.17708572294874 
469	 0.178300655893322 
470	 0.1792766269899 
471	 0.180355731321508 
472	 0.181376926126421 
473	 0.182276860028363 
474	 0.183434219546089 
475	 0.18457181190088 
476	 0.185510703074558 
477	 0.186202281069975 
478	 0.187162263347138 
479	 0.188279786057009 
480	 0.189394782839835 
481	 0.190365385425994 
482	 0.191329597323403 
483	 0.192269673366927 
484	 0.193148383766454 
485	 0.194032663267136 
486	 0.194861772530979 
487	 0.195641177768269 
488	 0.196433997369701 
489	 0.19724322166105 
490	 0.198131725646942 
491	 0.199097619573555 
492	 0.199978339079145 
493	 0.200706020974035 
494	 0.201383400677882 
495	 0.20219090917435 
496	 0.203173729154355 
497	 0.204129760018886 
498	 0.204966437791665 
499	 0.205788211736413 
500	 0.206534010546546 
501	 0.207309263893961 
502	 0.2081931096796 
503	 0.208945285300051 
504	 0.209681947828394 
505	 0.210467689653914 
506	 0.211305764364201 
507	 0.212170882616443 
508	 0.2130019129719 
509	 0.213753954525971 
510	 0.214431372344824 
511	 0.215118713957596 
512	 0.215860383323041 
513	 0.216657021212149 
514	 0.217316117759442 
515	 0.218096755821269 
516	 0.219076730416879 
517	 0.219964243296593 
518	 0.220643027105936 
519	 0.221208401679107 
520	 0.221837452096293 
521	 0.222647468195949 
522	 0.223489894494427 
523	 0.22424322649743 
524	 0.224838758997249 
525	 0.225566478987288 
526	 0.226317789897402 
527	 0.22697507458324 
528	 0.227702759049243 
529	 0.228408579859099 
530	 0.229071956614753 
531	 0.229726580121164 
532	 0.230430488144582 
533	 0.231201828352612 
534	 0.232004677646426 
535	 0.232704451562274 
536	 0.233387203035359 
537	 0.234078167515798 
538	 0.234780382113061 
539	 0.235513400915877 
540	 0.236209327314282 
541	 0.236855918762891 
542	 0.237520049294936 
543	 0.238193500664703 
544	 0.23891210087019 
545	 0.239693528588154 
546	 0.240468487901946 
547	 0.241124530218401 
