Wavelength	LMW_1400004.asd
350	 8.03053971757013E-02 
351	 8.29726823123287E-02 
352	 7.74522242220335E-02 
353	 6.87429538900164E-02 
354	 7.24171001290092E-02 
355	 7.31563708430792E-02 
356	 7.26516242688453E-02 
357	 7.50352719683145E-02 
358	 0.076737822267744 
359	 7.33764735092903E-02 
360	 0.069197595287697 
361	 7.26469286883523E-02 
362	 7.45087802025399E-02 
363	 7.51552315058629E-02 
364	 7.50606148221266E-02 
365	 7.28072238434175E-02 
366	 7.00834263225631E-02 
367	 6.90913199274748E-02 
368	 7.08101430714043E-02 
369	 7.17918186656185E-02 
370	 7.14810508971194E-02 
371	 7.02138349502279E-02 
372	 6.90268318321292E-02 
373	 6.98388547950586E-02 
374	 7.03810374021857E-02 
375	 6.98875560771231E-02 
376	 7.12834834576441E-02 
377	 0.070142044458014 
378	 6.88521616421706E-02 
379	 0.07054334567114 
380	 7.27598700154051E-02 
381	 7.17686573116735E-02 
382	 7.00432287859932E-02 
383	 7.36971381580118E-02 
384	 7.19238003347207E-02 
385	 7.00193278267145E-02 
386	 7.11129051043816E-02 
387	 6.96531603666864E-02 
388	 0.070580577344674 
389	 7.20793812311652E-02 
390	 7.12567680052488E-02 
391	 7.07304268443577E-02 
392	 7.07831103470811E-02 
393	 0.071184288219291 
394	 7.14053517603629E-02 
395	 7.19974301216332E-02 
396	 7.26331521372186E-02 
397	 7.27045771045239E-02 
398	 7.09077289253997E-02 
399	 0.071564731421635 
400	 7.36413829239861E-02 
401	 0.074175433330491 
402	 7.18490495355591E-02 
403	 7.07966458755348E-02 
404	 7.18386557219924E-02 
405	 7.21968321440819E-02 
406	 7.17352948508558E-02 
407	 7.15377313344612E-02 
408	 7.21845715543813E-02 
409	 7.23437357372613E-02 
410	 7.21235993054357E-02 
411	 7.18762039708045E-02 
412	 7.20584507226603E-02 
413	 7.30050662524076E-02 
414	 7.31558662876734E-02 
415	 7.23904562816117E-02 
416	 7.25817388482232E-02 
417	 7.20213434155074E-02 
418	 7.19345001376972E-02 
419	 7.31671438638569E-02 
420	 7.30096300351651E-02 
421	 7.24918296789577E-02 
422	 7.25597079890633E-02 
423	 7.37775538511828E-02 
424	 7.36868942123528E-02 
425	 7.33511085272213E-02 
426	 7.34563876267437E-02 
427	 7.30960040472509E-02 
428	 7.32923650356442E-02 
429	 7.36376095543324E-02 
430	 7.34923935805018E-02 
431	 7.35123784430345E-02 
432	 7.34562965218858E-02 
433	 7.34145537707565E-02 
434	 7.38075720203872E-02 
435	 7.43802136102088E-02 
436	 7.45627382326615E-02 
437	 7.41910760306737E-02 
438	 7.42190791350979E-02 
439	 7.46312989737527E-02 
440	 7.50139806327371E-02 
441	 7.48568158527423E-02 
442	 7.46408654695904E-02 
443	 7.50977870327673E-02 
444	 7.59406936564042E-02 
445	 7.53183273397968E-02 
446	 7.55353471661076E-02 
447	 7.62109274746151E-02 
448	 0.076390369882883 
449	 7.61641325323704E-02 
450	 7.62782851241717E-02 
451	 7.67701598370603E-02 
452	 7.70674728569427E-02 
453	 7.72031203181086E-02 
454	 7.71418145232163E-02 
455	 7.70613983111965E-02 
456	 7.77228050336921E-02 
457	 7.80554802897706E-02 
458	 7.80844228085524E-02 
459	 7.82933258587585E-02 
460	 0.078471679533361 
461	 7.85233735666995E-02 
462	 7.85687648807135E-02 
463	 7.90214853490665E-02 
464	 7.92372499033736E-02 
465	 0.079416201672561 
466	 7.98139227920857E-02 
467	 7.98769204188772E-02 
468	 8.01798532376266E-02 
469	 8.06317542016248E-02 
470	 8.06369602549864E-02 
471	 8.08039576062318E-02 
472	 8.10211315138727E-02 
473	 8.11705103690748E-02 
474	 0.081399015832783 
475	 8.17767226152625E-02 
476	 8.20768062678924E-02 
477	 8.20536882646257E-02 
478	 8.23755574529647E-02 
479	 8.26663293510171E-02 
480	 8.27648752013075E-02 
481	 8.29228286329137E-02 
482	 8.34127415307814E-02 
483	 8.38855382494045E-02 
484	 8.39933505182358E-02 
485	 8.41489008110891E-02 
486	 8.43732602439824E-02 
487	 8.46370812987201E-02 
488	 8.48689774817036E-02 
489	 8.48778424014479E-02 
490	 8.49830205844934E-02 
491	 8.53518522958229E-02 
492	 8.55877609115019E-02 
493	 8.56455413546821E-02 
494	 8.57449273317188E-02 
495	 8.61446749135376E-02 
496	 8.62566641502643E-02 
497	 8.64299629470669E-02 
498	 8.67824248212679E-02 
499	 8.69637731081372E-02 
500	 8.70503597425449E-02 
501	 0.08709876902726 
502	 0.087194797805266 
503	 8.75718011625247E-02 
504	 8.76976516651991E-02 
505	 8.75969924708174E-02 
506	 8.77999392681629E-02 
507	 8.80785784530421E-02 
508	 8.83300892052074E-02 
509	 8.84909501452055E-02 
510	 0.088545060826129 
511	 0.088519281816689 
512	 8.85456338746355E-02 
513	 8.87698460713244E-02 
514	 8.89462121802504E-02 
515	 8.90473272597163E-02 
516	 8.91086186223519E-02 
517	 8.92266725970417E-02 
518	 8.92813937144114E-02 
519	 8.93446230653337E-02 
520	 8.95087700261828E-02 
521	 8.96338382235505E-02 
522	 8.97471175582387E-02 
523	 8.98912328182798E-02 
524	 9.01105432010731E-02 
525	 0.090095753315278 
526	 0.090092610422356 
527	 9.02843067804935E-02 
528	 9.02250289846021E-02 
529	 9.03140536914925E-02 
530	 9.05280172437386E-02 
531	 9.05811413105574E-02 
532	 9.06110764079402E-02 
533	 0.090741429684906 
534	 9.09571260515144E-02 
535	 9.09465677206944E-02 
536	 9.10014267243832E-02 
537	 9.11162539279505E-02 
538	 9.11827212867147E-02 
539	 9.12307792140067E-02 
540	 9.13095730675524E-02 
541	 9.14488556271621E-02 
542	 9.16552664256315E-02 
543	 9.17477822393732E-02 
544	 0.091765017800279 
545	 9.18013301907145E-02 
546	 0.09189245878761 
547	 9.19812817160698E-02 
548	 9.20526442636908E-02 
549	 9.21311148208681E-02 
550	 9.22546858267101E-02 
551	 9.23560240139229E-02 
552	 9.24055084659495E-02 
553	 9.25234869279266E-02 
554	 9.26453048456874E-02 
555	 9.27029252591106E-02 
556	 9.26596916640842E-02 
557	 0.092785114807404 
558	 9.29088411707803E-02 
559	 9.29557860631488E-02 
560	 9.31134143886154E-02 
561	 9.31862085239495E-02 
562	 9.32439936549144E-02 
563	 9.33978883053121E-02 
564	 9.34544182073313E-02 
565	 0.093509659656001 
566	 9.36031778803808E-02 
567	 9.36926490454796E-02 
568	 0.093755591413389 
569	 9.38169976020374E-02 
570	 9.38925402178816E-02 
571	 9.39179635492107E-02 
572	 9.39712977964344E-02 
573	 0.094044539967662 
574	 9.40723833582281E-02 
575	 0.094097241736231 
576	 9.41538752276798E-02 
577	 9.42393748026968E-02 
578	 9.42647544928502E-02 
579	 9.43353825957867E-02 
580	 0.094451935752523 
581	 9.45589128954319E-02 
582	 9.45579219913072E-02 
583	 0.094544244108406 
584	 9.45462709154592E-02 
585	 9.44679307342524E-02 
586	 0.094491402209277 
587	 9.45668479730124E-02 
588	 9.46161601169842E-02 
589	 9.47821454547976E-02 
590	 9.48482232687032E-02 
591	 9.47863504112519E-02 
592	 9.47475307561785E-02 
593	 9.46892886747749E-02 
594	 9.46418453757925E-02 
595	 9.46273927807477E-02 
596	 9.46136252797544E-02 
597	 9.46554064916422E-02 
598	 9.47352730617694E-02 
