Wavelength	LMW_12_00001.asd
350	 0.121079874342964 
351	 0.123478197828295 
352	 0.115630851961424 
353	 0.103249459699277 
354	 0.101642927031358 
355	 0.107239212522273 
356	 0.108373513721203 
357	 9.98274366819305E-02 
358	 0.108542588861256 
359	 0.111458777750793 
360	 0.108537968517152 
361	 0.113517418149604 
362	 0.108690523214165 
363	 0.108157816038682 
364	 0.116114291793462 
365	 0.115828355411076 
366	 0.114470063836676 
367	 0.11439177717959 
368	 0.115843847616878 
369	 0.115640352976624 
370	 0.116220791946973 
371	 0.117217032709827 
372	 0.116642590690923 
373	 0.118679324499146 
374	 0.120700165551092 
375	 0.121986087175913 
376	 0.127184619908945 
377	 0.124173485282524 
378	 0.120696775665556 
379	 0.125831413980128 
380	 0.127643343585335 
381	 0.127483902173936 
382	 0.128717078494709 
383	 0.134877300989107 
384	 0.135948984821359 
385	 0.134442220301964 
386	 0.134009263172115 
387	 0.136883038929445 
388	 0.140867257064639 
389	 0.142725946126364 
390	 0.140790501530498 
391	 0.141635345528016 
392	 0.144466655203509 
393	 0.147372505216001 
394	 0.148140754763028 
395	 0.149524149703299 
396	 0.151817857962275 
397	 0.154658024272065 
398	 0.157341331951262 
399	 0.159909042091176 
400	 0.161348748941283 
401	 0.161023647467383 
402	 0.162214385694522 
403	 0.163749980208268 
404	 0.165116695793853 
405	 0.166760759471787 
406	 0.167407262634295 
407	 0.168982798929358 
408	 0.172174005381072 
409	 0.173107989467335 
410	 0.172616510298772 
411	 0.172777425571669 
412	 0.17550818553811 
413	 0.177240786543127 
414	 0.17810698656734 
415	 0.178415522407164 
416	 0.178172479836559 
417	 0.178429938353051 
418	 0.179151261304729 
419	 0.179926397575337 
420	 0.180275616515855 
421	 0.179885342399758 
422	 0.179454891335721 
423	 0.180105238378712 
424	 0.180141859332092 
425	 0.179919388802764 
426	 0.1798253023162 
427	 0.179810791177835 
428	 0.179744381913338 
429	 0.17961258564591 
430	 0.179462618297239 
431	 0.179419544991801 
432	 0.179255099206915 
433	 0.179194990963031 
434	 0.179853443910932 
435	 0.179997272404609 
436	 0.180066719190283 
437	 0.180507744134014 
438	 0.180838975195306 
439	 0.18163643556617 
440	 0.182730455499943 
441	 0.183622643436065 
442	 0.184468134534469 
443	 0.185315684577932 
444	 0.186188975328034 
445	 0.187085273249985 
446	 0.187952377354396 
447	 0.188935085448597 
448	 0.190165254715562 
449	 0.191528302063938 
450	 0.192724334946276 
451	 0.193627783772243 
452	 0.194309065961555 
453	 0.195448572434561 
454	 0.196501432218634 
455	 0.197145468785706 
456	 0.198177239403919 
457	 0.199056402061509 
458	 0.19961637190174 
459	 0.199974550325154 
460	 0.200971952308012 
461	 0.201892188084282 
462	 0.202443373077437 
463	 0.203120245698985 
464	 0.203748478468351 
465	 0.204338803509625 
466	 0.20488215766242 
467	 0.205059759410398 
468	 0.205587945655641 
469	 0.206387877658905 
470	 0.206771834470248 
471	 0.207420618459974 
472	 0.207845698368345 
473	 0.207858218273928 
474	 0.208418761290153 
475	 0.209007512726363 
476	 0.20941019024688 
477	 0.209633688441082 
478	 0.210339491119606 
479	 0.210973558198072 
480	 0.211331535931989 
481	 0.211834828854022 
482	 0.212354037673915 
483	 0.212820175929977 
484	 0.213206952415947 
485	 0.213600516583205 
486	 0.214124435394971 
487	 0.214657164660789 
488	 0.214916025595527 
489	 0.215465556946187 
490	 0.216016797487502 
491	 0.216354246665923 
492	 0.216815664493131 
493	 0.217252448685019 
494	 0.217722455284352 
495	 0.218335993922292 
496	 0.218876457327026 
497	 0.219341854733564 
498	 0.219811529463674 
499	 0.220458650910057 
500	 0.220978803219395 
501	 0.221329249204872 
502	 0.221625722383105 
503	 0.222292566768055 
504	 0.222862570842852 
505	 0.223251033537407 
506	 0.223738690039188 
507	 0.224107666169535 
508	 0.224621145334659 
509	 0.225358373405971 
510	 0.225668246296483 
511	 0.22600671019745 
512	 0.226477599980312 
513	 0.226999640516984 
514	 0.227634813878469 
515	 0.228190166019523 
516	 0.228620244204816 
517	 0.229181984958083 
518	 0.229579876852379 
519	 0.229879074847404 
520	 0.23026647197604 
521	 0.230889878044768 
522	 0.231537679956462 
523	 0.232056902961959 
524	 0.232385668699728 
525	 0.232806591560858 
526	 0.233256171801333 
527	 0.233661978880996 
528	 0.234205508771912 
529	 0.234697139051855 
530	 0.235114653663778 
531	 0.235552554176799 
532	 0.236070685745136 
533	 0.236588757535636 
534	 0.237070890767475 
535	 0.237624132919906 
536	 0.238134014051086 
537	 0.238643155907295 
538	 0.239219930022434 
539	 0.239664643560431 
540	 0.240076503222293 
541	 0.240532801779187 
542	 0.241046984808046 
543	 0.241610999956482 
544	 0.242155799167926 
545	 0.242643334250064 
546	 0.243220415080479 
547	 0.243845088899417 
548	 0.244482926615046 
549	 0.245109931705276 
550	 0.245658705409939 
551	 0.246244280716002 
552	 0.246926168926513 
553	 0.247525817593364 
554	 0.248194411195167 
555	 0.248865021055947 
556	 0.249392282176048 
557	 0.250031454763749 
558	 0.250662427312956 
559	 0.251229901699332 
560	 0.251864293564798 
561	 0.252518507234203 
562	 0.253252441017226 
563	 0.254128063397602 
564	 0.255036752837274 
565	 0.255945502731405 
566	 0.256970458187113 
567	 0.258376167623886 
568	 0.259549988710425 
569	 0.260400685365336 
570	 0.261017706511053 
571	 0.261553257111423 
572	 0.262247033650463 
573	 0.263166186735271 
574	 0.264216147711756 
575	 0.265036957358251 
576	 0.265793423561142 
577	 0.266654673331402 
578	 0.267584387345885 
579	 0.268706950571365 
580	 0.270055290390608 
581	 0.271589711257419 
582	 0.273163652607775 
583	 0.274539098949997 
584	 0.275594722807113 
585	 0.27637199018944 
586	 0.277156692296522 
587	 0.277969996991971 
588	 0.278751981743597 
589	 0.279518885572504 
590	 0.280221021254442 
591	 0.280879100869163 
592	 0.281577114749347 
593	 0.282215226458297 
594	 0.282886433993342 
595	 0.283743935131308 
596	 0.285016438747191 
597	 0.286487310555617 
598	 0.28800591265805 
599	 0.289469167371991 
600	 0.29086320387787 
601	 0.292038333597569 
602	 0.292962563006549 
603	 0.293835406533175 
604	 0.294611713582582 
605	 0.295399095940973 
606	 0.296309106619716 
607	 0.297211999558185 
608	 0.2980310228622 
609	 0.298783155103774 
610	 0.299588994510838 
611	 0.300539192794484 
612	 0.301559904968808 
613	 0.30253312246224 
614	 0.303367793823749 
615	 0.304189815556618 
616	 0.305010129271747 
617	 0.305761009367646 
618	 0.306542287859373 
619	 0.307276678781934 
620	 0.307935191361707 
621	 0.30864595512125 
622	 0.309347267365934 
623	 0.310057532330152 
624	 0.31080799460855 
625	 0.311505875666138 
626	 0.312194818879878 
627	 0.312881099673492 
628	 0.313504149378662 
629	 0.314176949531646 
630	 0.314848773116436 
631	 0.31546728413232 
632	 0.316158223763757 
633	 0.31684341180854 
634	 0.317478648590969 
635	 0.318065428428837 
636	 0.318793916019233 
637	 0.319527177961346 
638	 0.320149740054883 
639	 0.320734965548478 
640	 0.321400441687039 
641	 0.322113030903505 
642	 0.322772814141338 
643	 0.32341832975455 
644	 0.324065746963903 
645	 0.324725881012938 
646	 0.325403397606199 
647	 0.326062605147339 
648	 0.32672044198978 
649	 0.32741194766764 
650	 0.328190117202623 
651	 0.328872419503546 
652	 0.329462371700968 
653	 0.330128926427431 
654	 0.330870340197695 
655	 0.331607423861509 
656	 0.33228208375718 
657	 0.332914557500434 
658	 0.333623417386599 
659	 0.334417141749241 
660	 0.335222811030035 
661	 0.33584552356049 
662	 0.336456867470244 
663	 0.337165339276727 
664	 0.337933188647629 
665	 0.338786951152237 
666	 0.339583701819163 
667	 0.340222188737492 
668	 0.340955787426005 
669	 0.341756228450641 
670	 0.342548427922501 
671	 0.343238173102413 
672	 0.344017146038618 
673	 0.344816510941023 
674	 0.34558925769454 
675	 0.346472643363228 
676	 0.347215637031557 
677	 0.347905027169414 
678	 0.348744608223332 
679	 0.349601033693964 
680	 0.350432228470163 
681	 0.351225989647331 
682	 0.351999758928243 
683	 0.352792826317216 
684	 0.353619758124121 
685	 0.354473737432635 
686	 0.355310553558945 
687	 0.356117706914907 
688	 0.356910893153951 
689	 0.357726820285415 
690	 0.358608781058912 
691	 0.359481532153823 
692	 0.360305772658042 
693	 0.361153950580044 
694	 0.361940272045374 
695	 0.362725456235305 
696	 0.363601332221303 
697	 0.364520706273192 
698	 0.365390714776121 
699	 0.366214395763233 
700	 0.367093227166918 
701	 0.367843079333166 
702	 0.368666861161846 
703	 0.369667904418604 
704	 0.370432990631858 
705	 0.3712480335066 
706	 0.372096812435222 
707	 0.372836062715308 
708	 0.373671239036956 
709	 0.374504041699492 
710	 0.375302654696679 
711	 0.37618353902681 
712	 0.37697778646132 
713	 0.377723127202281 
714	 0.378492830314461 
715	 0.379248261931392 
716	 0.379984342286161 
717	 0.38074983284776 
718	 0.381603934561314 
719	 0.382265433580052 
720	 0.382867942346214 
721	 0.383526717537592 
722	 0.384195975532452 
723	 0.384922460757587 
724	 0.38569695304601 
725	 0.386474437919792 
726	 0.387162979658888 
727	 0.387718475559402 
728	 0.388219667885253 
729	 0.388841036127146 
730	 0.389446059783358 
731	 0.390050727712389 
732	 0.390656986172942 
733	 0.391165409031206 
734	 0.391651174532926 
735	 0.392149256936709 
736	 0.392665577206208 
737	 0.393134153092848 
738	 0.393607496677649 
739	 0.394090611397889 
740	 0.394528950369158 
741	 0.394954380791269 
742	 0.395356230693304 
743	 0.395716717601415 
744	 0.396010492882275 
745	 0.396360868135343 
746	 0.396741265305819 
747	 0.397053734886212 
748	 0.397277153661548 
749	 0.397504250330378 
750	 0.397756822243955 
751	 0.397959712463043 
752	 0.398255459346009 
753	 0.398532783925837 
754	 0.398705983437291 
755	 0.398945692303848 
756	 0.399143728654844 
757	 0.399287554176443 
758	 0.399416759292711 
759	 0.399572350820366 
760	 0.39963881511583 
761	 0.399628586171182 
762	 0.399726808143512 
763	 0.399877042300463 
764	 0.400004943765265 
765	 0.400074030161695 
766	 0.40019070701117 
767	 0.400182343983665 
768	 0.400135887966735 
769	 0.400228838816101 
770	 0.400257643162016 
771	 0.40024975226099 
772	 0.400241051296125 
773	 0.400250328415858 
774	 0.400193011851319 
775	 0.400163084873687 
776	 0.400205324061642 
777	 0.400115427530776 
778	 0.400038010369914 
779	 0.399990055253118 
