Wavelength	MM_3300001.asd
350	 4.91519021746107E-02 
351	 4.70799644890552E-02 
352	 3.94626114883505E-02 
353	 3.48393483493311E-02 
354	 3.92126626703303E-02 
355	 4.23702611401001E-02 
356	 4.30958223305488E-02 
357	 4.25918712279048E-02 
358	 4.09048543972116E-02 
359	 3.98095179909701E-02 
360	 3.77203810242229E-02 
361	 3.19145277626524E-02 
362	 3.09709856369874E-02 
363	 0.032402398933517 
364	 0.033405116188303 
365	 3.28240055834084E-02 
366	 3.56546945638503E-02 
367	 3.70293598676305E-02 
368	 3.32451749376731E-02 
369	 3.57196057571889E-02 
370	 3.89520413264864E-02 
371	 3.96425644143602E-02 
372	 3.69708659441041E-02 
373	 0.038013030191965 
374	 3.96515519078981E-02 
375	 3.93592135559986E-02 
376	 0.037869772692175 
377	 3.79235353788011E-02 
378	 3.85093713434504E-02 
379	 0.038464149908962 
380	 4.19951020938612E-02 
381	 4.12485469533169E-02 
382	 3.80956897529027E-02 
383	 4.09384784704972E-02 
384	 3.90089270224581E-02 
385	 3.67944736540906E-02 
386	 3.76682122396979E-02 
387	 3.88558103042412E-02 
388	 4.02276714089418E-02 
389	 4.17852327447989E-02 
390	 4.34390263480332E-02 
391	 4.41814965030889E-02 
392	 4.42644711626258E-02 
393	 4.45733204946696E-02 
394	 4.62578954976561E-02 
395	 4.69868575726059E-02 
396	 4.72103909284561E-02 
397	 4.77749163372445E-02 
398	 4.94324368979797E-02 
399	 5.07481676384753E-02 
400	 5.11783805321591E-02 
401	 5.08784670418529E-02 
402	 5.16242589138944E-02 
403	 5.23431063260913E-02 
404	 5.27244889405053E-02 
405	 5.34037845842887E-02 
406	 5.44240741186777E-02 
407	 5.46519067216398E-02 
408	 5.38628758897586E-02 
409	 5.46293162987938E-02 
410	 0.055618256707106 
411	 0.056186869687398 
412	 5.62601215336463E-02 
413	 5.74641850272651E-02 
414	 5.79699079427502E-02 
415	 5.74228779618999E-02 
416	 5.76819690795977E-02 
417	 5.78067768339582E-02 
418	 5.81763374810113E-02 
419	 0.05897611907512 
420	 5.87776507897502E-02 
421	 5.81326825026134E-02 
422	 5.82195441588149E-02 
423	 6.01459507124318E-02 
424	 5.99942769852436E-02 
425	 5.94652020001109E-02 
426	 5.97418483143138E-02 
427	 5.97157693065358E-02 
428	 5.98148805169249E-02 
429	 0.059997512918175 
430	 6.00802484800561E-02 
431	 5.98430975644659E-02 
432	 5.98278443258564E-02 
433	 6.01916673331463E-02 
434	 6.06856508547024E-02 
435	 6.10375809405507E-02 
436	 6.11481761313213E-02 
437	 0.061087294231867 
438	 0.06118061712581 
439	 6.16139101866855E-02 
440	 6.20884557480237E-02 
441	 6.21777944042999E-02 
442	 6.26223781008873E-02 
443	 6.30630002936255E-02 
444	 6.32727399253859E-02 
445	 6.33802875240794E-02 
446	 6.34471698686819E-02 
447	 6.36187895040764E-02 
448	 6.39527505389903E-02 
449	 6.40454694371571E-02 
450	 6.44219771029263E-02 
451	 6.49913224586293E-02 
452	 6.51602445020547E-02 
453	 6.54008782841052E-02 
454	 0.065546447360396 
455	 6.55389135598778E-02 
456	 6.58677935573387E-02 
457	 6.60986918857908E-02 
458	 6.63083930806576E-02 
459	 6.66932008518613E-02 
460	 6.64862518660219E-02 
461	 6.64244428391247E-02 
462	 6.67748839735089E-02 
463	 6.69733217991374E-02 
464	 6.70740370386971E-02 
465	 6.72374948197057E-02 
466	 0.067539367077699 
467	 6.75301118282181E-02 
468	 6.76334436802648E-02 
469	 6.78888129862499E-02 
470	 6.80135404941277E-02 
471	 6.80258354158704E-02 
472	 6.79729274204811E-02 
473	 6.79365894579957E-02 
474	 6.80381252566708E-02 
475	 0.068412230115993 
476	 6.86928280592994E-02 
477	 0.068457380023264 
478	 6.86291461448197E-02 
479	 6.87941658108014E-02 
480	 6.87854051984092E-02 
481	 6.89371132279439E-02 
482	 6.91650077333461E-02 
483	 6.93284333838151E-02 
484	 0.069323368944641 
485	 6.92438157994339E-02 
486	 0.069358043049713 
487	 6.95472954210494E-02 
488	 6.94125776422234E-02 
489	 6.95242127275346E-02 
490	 6.97377656927196E-02 
491	 6.98756541362141E-02 
492	 7.00111827651738E-02 
493	 7.00234664679805E-02 
494	 7.00099169483481E-02 
495	 7.01414916464733E-02 
496	 7.03077237115726E-02 
497	 7.02979029793562E-02 
498	 7.01656027493424E-02 
499	 7.03610205553561E-02 
500	 0.070588591326909 
501	 7.07637837063049E-02 
502	 7.08629080526771E-02 
503	 7.08444259666054E-02 
504	 7.09110270280903E-02 
505	 0.071034227803488 
506	 7.09857071146905E-02 
507	 7.10430844205045E-02 
508	 7.11108084998514E-02 
509	 7.11209850062621E-02 
510	 7.12894578279092E-02 
511	 7.14316699143573E-02 
512	 7.13973550463663E-02 
513	 7.11402692338734E-02 
514	 7.13321952755163E-02 
515	 7.15769167221245E-02 
516	 0.071636601747708 
517	 7.17612203997503E-02 
518	 7.17471900724425E-02 
519	 7.16842327812598E-02 
520	 7.17388945317899E-02 
521	 0.071971714335168 
522	 7.20387044040539E-02 
523	 7.19604572744409E-02 
524	 7.21478032408178E-02 
525	 7.21727716475375E-02 
526	 7.21548511699242E-02 
527	 7.22417416564171E-02 
528	 7.22642705083479E-02 
529	 7.23621028069563E-02 
530	 7.24967052780636E-02 
531	 7.25304811090252E-02 
532	 7.26382895123747E-02 
533	 0.072794838033286 
534	 7.29220027894815E-02 
535	 7.28720764523417E-02 
536	 7.28985594497683E-02 
537	 7.30100681951822E-02 
538	 7.31139537049385E-02 
539	 7.31705824503345E-02 
540	 7.32029880083846E-02 
541	 7.32593960886822E-02 
542	 7.34152427514581E-02 
543	 7.34821783871025E-02 
544	 7.35348612836234E-02 
545	 7.36634643822423E-02 
546	 7.36992115862966E-02 
547	 7.37811000178939E-02 
548	 7.39693891584057E-02 
549	 7.42368792593492E-02 
550	 7.43220786366555E-02 
551	 0.074342680317873 
552	 7.44424766713874E-02 
553	 7.46455544563624E-02 
554	 7.48112246599284E-02 
555	 7.49361621280062E-02 
556	 7.50873259577659E-02 
557	 0.075238808768485 
558	 7.53579616510396E-02 
559	 7.54695023553543E-02 
560	 7.57125519843796E-02 
561	 0.075815264849151 
562	 7.59025837929519E-02 
