Wavelength	mm1900008.asd
350	 4.79616228773258E-02 
351	 5.50084495711107E-02 
352	 4.83163640741707E-02 
353	 0.032505030213818 
354	 4.09919972682018E-02 
355	 4.31231503561373E-02 
356	 3.93707478515103E-02 
357	 3.80199261416093E-02 
358	 4.41689285447438E-02 
359	 4.42524311583927E-02 
360	 4.01577666778451E-02 
361	 4.23783464100712E-02 
362	 3.63292602381493E-02 
363	 3.40901494215896E-02 
364	 0.039598404695019 
365	 3.97378879888911E-02 
366	 3.83295542311428E-02 
367	 3.74302442657558E-02 
368	 3.84418111640685E-02 
369	 4.19869713017664E-02 
370	 4.25948334774452E-02 
371	 4.11865375654366E-02 
372	 4.24594639375371E-02 
373	 3.91561940417293E-02 
374	 3.89411037791076E-02 
375	 4.40360611865976E-02 
376	 4.45278281355162E-02 
377	 4.08854264001255E-02 
378	 3.90336531030647E-02 
379	 4.35743015393313E-02 
380	 4.59735308222532E-02 
381	 4.53512909844279E-02 
382	 4.32773054392623E-02 
383	 4.27597252298558E-02 
384	 4.29195119883033E-02 
385	 4.19925401609311E-02 
386	 4.05706120943833E-02 
387	 4.42479209829245E-02 
388	 4.57459075731953E-02 
389	 4.53668309875136E-02 
390	 4.53495738814369E-02 
391	 4.43892831052539E-02 
392	 4.41962922538114E-02 
393	 4.52081136391326E-02 
394	 4.66156204935057E-02 
395	 4.71906708026558E-02 
396	 4.66783464684196E-02 
397	 4.56346146958766E-02 
398	 4.57843932163903E-02 
399	 4.67150856896032E-02 
400	 4.81139086448869E-02 
401	 4.94490476152362E-02 
402	 4.92092126554984E-02 
403	 4.83362985704128E-02 
404	 4.77170294929456E-02 
405	 4.79411350036267E-02 
406	 4.87621397785851E-02 
407	 4.96072957696315E-02 
408	 4.97375269862334E-02 
409	 4.77443398537004E-02 
410	 4.76282378456911E-02 
411	 4.89863598173879E-02 
412	 0.049529800547171 
413	 5.02286040145389E-02 
414	 5.01090351559918E-02 
415	 4.92696149339035E-02 
416	 4.93140655903726E-02 
417	 4.91137361301546E-02 
418	 4.90985383662707E-02 
419	 4.96578606061603E-02 
420	 4.98527792966164E-02 
421	 4.98357396242261E-02 
422	 4.98816423312824E-02 
423	 5.02180382456348E-02 
424	 4.97030546789948E-02 
425	 4.91435232356079E-02 
426	 4.91524762311954E-02 
427	 4.96228032326275E-02 
428	 4.98104005085938E-02 
429	 4.97587927677622E-02 
430	 4.97211417525885E-02 
431	 4.94737762326625E-02 
432	 4.92197161759878E-02 
433	 4.91802754521174E-02 
434	 0.049544086319041 
435	 4.96757436713062E-02 
436	 4.94035177034721E-02 
437	 4.88637723830332E-02 
438	 4.86251952715245E-02 
439	 0.048958080152977 
440	 4.93702621535761E-02 
441	 4.91499531366476E-02 
442	 4.92849487093146E-02 
443	 4.94136808753233E-02 
444	 4.93536750080765E-02 
445	 4.93907963764887E-02 
446	 0.049384473009233 
447	 4.94400460106037E-02 
448	 4.96216324893938E-02 
449	 4.95163128757692E-02 
450	 4.96154667250888E-02 
451	 4.98529697104601E-02 
452	 4.97169810777475E-02 
453	 4.98742191695472E-02 
454	 5.00564424976796E-02 
455	 5.00505253890927E-02 
456	 5.02094045368835E-02 
457	 5.01419633965381E-02 
458	 4.99319883689942E-02 
459	 4.98713239382481E-02 
460	 5.00420753578082E-02 
461	 5.00730095542203E-02 
462	 4.98688459972263E-02 
463	 4.97651955043732E-02 
464	 4.98352129953002E-02 
465	 4.99324447929924E-02 
466	 4.99160975718145E-02 
467	 4.99786339528305E-02 
468	 5.00015559721252E-02 
469	 4.99281514742693E-02 
470	 4.97722760945004E-02 
471	 4.97436548445849E-02 
472	 0.049731219710119 
473	 4.96614858782955E-02 
474	 4.97007735281125E-02 
475	 4.96463871867843E-02 
476	 4.95302070031435E-02 
477	 4.94927184503905E-02 
478	 4.96376241954186E-02 
479	 4.97518309237607E-02 
480	 4.97434285915219E-02 
481	 4.97191744915922E-02 
482	 4.98594771999888E-02 
483	 5.01213701979341E-02 
484	 0.050308830542778 
485	 4.98872900553219E-02 
486	 0.049676798887561 
487	 4.98030348746439E-02 
488	 4.97951334357715E-02 
489	 4.97586671397076E-02 
490	 4.97615193207223E-02 
491	 4.98168282742191E-02 
492	 4.98150222682127E-02 
493	 4.97105725094582E-02 
494	 4.96647209252385E-02 
495	 4.98698639627968E-02 
496	 4.99529935473754E-02 
497	 0.049863895494536 
498	 4.97242773753426E-02 
499	 4.98615015164242E-02 
500	 4.98567730150938E-02 
501	 4.97660429894783E-02 
502	 4.97579958451915E-02 
503	 4.98451937694742E-02 
504	 4.98563849936546E-02 
505	 4.97701500269716E-02 
506	 4.97080893145437E-02 
507	 4.97406439593786E-02 
508	 4.98613499921448E-02 
509	 4.99932849515276E-02 
510	 4.99299738250888E-02 
511	 4.97723372516676E-02 
512	 4.96849399149048E-02 
513	 4.98215791027698E-02 
514	 4.99111211573495E-02 
515	 0.049935447443771 
516	 4.99521812685693E-02 
517	 5.01138740695173E-02 
518	 5.00067994234904E-02 
519	 4.98554301259995E-02 
520	 0.049983438747117 
521	 5.00491020192504E-02 
522	 5.00553821792651E-02 
523	 5.00271396743289E-02 
524	 4.99917697013531E-02 
525	 4.99625972198777E-02 
526	 4.99845322974052E-02 
527	 5.00763761763111E-02 
528	 5.01824267663857E-02 
529	 5.01645408491467E-02 
530	 5.01090608952421E-02 
531	 5.02227425100083E-02 
532	 5.02356486237107E-02 
533	 5.03003506560321E-02 
534	 5.04547798947855E-02 
535	 5.03518149030583E-02 
536	 5.03595332001821E-02 
537	 5.04760223438683E-02 
538	 5.05616902063639E-02 
539	 5.06231128816457E-02 
540	 5.06390788330047E-02 
541	 5.06422309534336E-02 
542	 5.07373701349621E-02 
543	 5.07714595168268E-02 
544	 5.07984041051485E-02 
545	 5.09121851078096E-02 
546	 5.11517006804264E-02 
547	 5.12384611652287E-02 
548	 5.12251216986588E-02 
549	 0.051428615357771 
550	 5.15007341758088E-02 
551	 0.051594066120422 
552	 5.18172803557721E-02 
553	 5.19280419017701E-02 
554	 5.20173030703867E-02 
555	 0.052161896317107 
556	 5.24123399499328E-02 
557	 5.26249937770452E-02 
558	 0.052791254561684 
559	 5.29737678443601E-02 
560	 5.33435536238947E-02 
561	 5.36005425342022E-02 
562	 5.38054490836309E-02 
563	 5.41097594118022E-02 
564	 5.44069076975247E-02 
565	 0.05471096776869 
566	 5.50292713754857E-02 
567	 5.53552185874508E-02 
568	 5.57557829884289E-02 
569	 0.056205976975881 
570	 5.66689369398452E-02 
571	 5.71577246489168E-02 
572	 5.76195544500565E-02 
573	 5.81081546798674E-02 
574	 5.87300718297858E-02 
575	 5.92308823658351E-02 
576	 5.97235665659491E-02 
577	 6.03001978388433E-02 
578	 6.08747279389379E-02 
579	 6.14957741906481E-02 
580	 6.21304675091522E-02 
581	 6.27297842878289E-02 
582	 6.33754648225059E-02 
583	 6.40592027774743E-02 
584	 6.47664617710179E-02 
585	 6.54890850586497E-02 
586	 6.62627198585928E-02 
587	 6.70602346429243E-02 
588	 6.78467083739769E-02 
589	 6.86459589492577E-02 
590	 6.94479744101042E-02 
591	 7.02523204081576E-02 
592	 7.10665590737716E-02 
593	 0.071785035604326 
594	 7.24892065973053E-02 
595	 7.32454243635022E-02 
596	 7.39834945955272E-02 
597	 7.46979360291303E-02 
598	 7.53945891563646E-02 
599	 7.60927844972583E-02 
600	 7.68329665492089E-02 
601	 7.75499180791185E-02 
602	 7.82082542870666E-02 
603	 7.88480773077367E-02 
604	 7.94994779415071E-02 
605	 8.01358498752542E-02 
606	 8.07293976212173E-02 
607	 8.13811306081286E-02 
608	 8.19732975659621E-02 
609	 8.24978066142984E-02 
610	 8.30836877900169E-02 
611	 8.36408649529652E-02 
612	 8.41284018661303E-02 
613	 8.45341471508332E-02 
614	 8.48954431455377E-02 
615	 8.52906964910066E-02 
616	 8.56819499667291E-02 
617	 8.59656969997506E-02 
618	 8.63470954206165E-02 
619	 8.67165602365405E-02 
620	 8.69921219200033E-02 
621	 8.72434035459564E-02 
622	 8.75208910519683E-02 
623	 8.77922841958906E-02 
624	 8.80074498067297E-02 
625	 8.82664945065369E-02 
626	 8.85190191757662E-02 
627	 8.87431960663121E-02 
628	 8.89698558362908E-02 
629	 8.91994716591634E-02 
630	 8.94049486229555E-02 
631	 8.95777084636013E-02 
632	 8.98154547000752E-02 
633	 9.00064103006776E-02 
634	 0.090156469929494 
635	 9.03652460238887E-02 
636	 9.05581986067655E-02 
637	 9.07559384036542E-02 
638	 9.09662012192722E-02 
639	 9.11276088336688E-02 
640	 9.12583119997289E-02 
641	 9.14182484107202E-02 
642	 9.16631681633473E-02 
643	 0.091848689961043 
644	 9.20447995180955E-02 
645	 9.22764494820368E-02 
646	 9.24739065845234E-02 
647	 9.26368234667429E-02 
648	 9.28394624482947E-02 
649	 9.31264597785254E-02 
650	 0.09331747110447 
651	 9.35380854682378E-02 
652	 9.37993733567725E-02 
653	 9.40123026823857E-02 
654	 9.42636563340631E-02 
655	 9.44965732139775E-02 
656	 9.46959016275723E-02 
657	 9.50223224277687E-02 
658	 9.53092131813654E-02 
659	 9.55618005302144E-02 
660	 9.58542334624842E-02 
661	 9.61061007410891E-02 
662	 9.64008288268091E-02 
663	 0.096746300900846 
664	 9.70193284961422E-02 
665	 9.73268517714542E-02 
666	 9.76488743206717E-02 
667	 9.79481580307705E-02 
668	 9.82711980853344E-02 
669	 9.86006318131676E-02 
670	 9.89403508512599E-02 
671	 9.93086193732219E-02 
672	 9.96465707197161E-02 
673	 0.100011864038136 
674	 0.100426706831461 
675	 0.100779663016524 
676	 0.101137983661188 
677	 0.101524111936791 
678	 0.101942147000304 
679	 0.102404854194388 
680	 0.102850113757752 
681	 0.10325916806314 
682	 0.103676442044599 
683	 0.104136238877215 
684	 0.10459631858643 
685	 0.105024281292459 
686	 0.105502934043489 
687	 0.106017959260514 
688	 0.106531732500035 
689	 0.106998180418345 
690	 0.107479232189138 
691	 0.107972220642222 
692	 0.108472208039428 
693	 0.108992652385471 
694	 0.109502613898464 
695	 0.110025843594472 
696	 0.110588664429489 
697	 0.111109348834417 
698	 0.111652530260643 
699	 0.112225282727392 
700	 0.112767197874117 
701	 0.113338724076579 
702	 0.113894303547695 
703	 0.114409260381539 
704	 0.114980698002728 
705	 0.115549733696763 
706	 0.116103916087885 
707	 0.116657374883319 
708	 0.117233804588003 
709	 0.117835007429735 
710	 0.118429293122282 
