Wavelength	mm2800010.asd
350	 0.058243946758052 
351	 6.44316785325718E-02 
352	 5.79134098384409E-02 
353	 4.54132906188579E-02 
354	 6.04682028094379E-02 
355	 6.27936948950109E-02 
356	 0.05581305519823 
357	 5.31939302337903E-02 
358	 6.09297796687516E-02 
359	 5.88776929133823E-02 
360	 5.20046807171445E-02 
361	 5.89032881522476E-02 
362	 5.60285258021001E-02 
363	 5.54063225833622E-02 
364	 6.08277016733037E-02 
365	 5.65606835335915E-02 
366	 0.054911628360191 
367	 5.84857936172115E-02 
368	 6.49190493346688E-02 
369	 0.065101778603333 
370	 6.15895885723784E-02 
371	 5.79932702817623E-02 
372	 5.78801437207478E-02 
373	 0.058473101661775 
374	 0.058727384782389 
375	 5.92712347635472E-02 
376	 6.36115589896881E-02 
377	 6.18010066732784E-02 
378	 5.92078577066891E-02 
379	 6.25601475978428E-02 
380	 6.37167693062967E-02 
381	 6.15542327999928E-02 
382	 5.88534882274481E-02 
383	 6.05377352681734E-02 
384	 6.27708284076943E-02 
385	 6.37361287520686E-02 
386	 0.063171975135902 
387	 6.29651768521384E-02 
388	 0.064018826842355 
389	 6.57300226946444E-02 
390	 6.68224745460142E-02 
391	 6.56221339678407E-02 
392	 0.065901950509158 
393	 6.74332151388217E-02 
394	 6.66794749327825E-02 
395	 6.62069480876688E-02 
396	 6.54306429656005E-02 
397	 6.45201766509028E-02 
398	 6.66011095418275E-02 
399	 6.75198097036327E-02 
400	 6.75802812124994E-02 
401	 6.83119019473461E-02 
402	 6.78400844093997E-02 
403	 6.81764674597229E-02 
404	 6.93319119372067E-02 
405	 6.92099745943884E-02 
406	 0.069410214923348 
407	 7.02804160243964E-02 
408	 7.09785021259678E-02 
409	 6.77523619264632E-02 
410	 6.76425719395454E-02 
411	 6.98347572103529E-02 
412	 7.01808442414287E-02 
413	 7.00023153695202E-02 
414	 6.98833760537363E-02 
415	 6.98804757424653E-02 
416	 6.94227645580263E-02 
417	 6.99067852961723E-02 
418	 7.07575098915564E-02 
419	 7.11266742361443E-02 
420	 7.09739803543233E-02 
421	 7.07648557132066E-02 
422	 0.071089736759986 
423	 7.23602788958848E-02 
424	 7.23753575184227E-02 
425	 7.19563872113217E-02 
426	 7.19742236984573E-02 
427	 7.27379234678037E-02 
428	 7.29992088131806E-02 
429	 7.29069170883616E-02 
430	 7.29496663409589E-02 
431	 7.27009495939629E-02 
432	 7.27341920657042E-02 
433	 7.31480807124374E-02 
434	 7.35547918471539E-02 
435	 0.073905532859095 
436	 0.073869441742442 
437	 7.33712538567958E-02 
438	 7.29550401104156E-02 
439	 7.33894373732462E-02 
440	 0.074205290940139 
441	 7.44065130067648E-02 
442	 7.44416127208528E-02 
443	 7.43672468889689E-02 
444	 7.43339338555098E-02 
445	 7.46971189309388E-02 
446	 7.48851851101823E-02 
447	 7.50242097692639E-02 
448	 7.53459260341426E-02 
449	 7.56438364809869E-02 
450	 7.57388736339664E-02 
451	 7.56838810110911E-02 
452	 7.57238513150837E-02 
453	 7.59125423305646E-02 
454	 7.61098520252333E-02 
455	 7.62640312666954E-02 
456	 7.66764571125216E-02 
457	 7.67907670971036E-02 
458	 7.67818524362379E-02 
459	 7.70580972988149E-02 
460	 7.70081589021324E-02 
461	 7.70560160785762E-02 
462	 0.077346762224593 
463	 7.75165090312507E-02 
464	 7.75950663615246E-02 
465	 7.77028952945985E-02 
466	 7.79379571558067E-02 
467	 7.81851859729615E-02 
468	 7.83448667631811E-02 
469	 7.84404595648956E-02 
470	 7.85912173228398E-02 
471	 7.88063233189753E-02 
472	 7.88409897140107E-02 
473	 7.86801696768685E-02 
474	 7.89438913127935E-02 
475	 7.92738753091194E-02 
476	 7.95212981078141E-02 
477	 7.96534496807526E-02 
478	 7.98289771561262E-02 
479	 8.00178568363855E-02 
480	 8.01786904821951E-02 
481	 8.02762416411228E-02 
482	 8.05000926935546E-02 
483	 8.07533076316195E-02 
484	 8.09236247150196E-02 
485	 8.12009091346069E-02 
486	 8.14198565187059E-02 
487	 8.15368701506273E-02 
488	 8.16168142913763E-02 
489	 8.16298982706816E-02 
490	 8.16761481196306E-02 
491	 8.18307346986572E-02 
492	 8.20988787054795E-02 
493	 8.21219819652789E-02 
494	 8.20960588360839E-02 
495	 8.24044537554675E-02 
496	 8.26410824216645E-02 
497	 0.082716563761152 
498	 8.27206828859704E-02 
499	 8.29589512172546E-02 
500	 8.31388068405874E-02 
501	 8.32397729570351E-02 
502	 8.33397480621249E-02 
503	 8.35949194137936E-02 
504	 8.36895231227691E-02 
505	 8.36218997786265E-02 
506	 0.083681574070216 
507	 8.38323034454521E-02 
508	 8.40358905005884E-02 
509	 8.42108305804882E-02 
510	 8.41573047163592E-02 
511	 8.41471752003102E-02 
512	 8.43203724760489E-02 
513	 8.46748408421361E-02 
514	 8.46756596021426E-02 
515	 8.45818043546342E-02 
516	 8.46373095109728E-02 
517	 8.49219560849581E-02 
518	 8.50685234539141E-02 
519	 8.50889969426183E-02 
520	 8.51302547310791E-02 
521	 8.52915659576225E-02 
522	 8.53956810175117E-02 
523	 8.54283937954423E-02 
524	 8.55577939580445E-02 
525	 8.56334899750352E-02 
526	 8.56801205261977E-02 
527	 8.57497679134104E-02 
528	 8.58577599325009E-02 
529	 8.59529184530737E-02 
530	 8.60173258411549E-02 
531	 8.60575081488878E-02 
532	 8.60642042924992E-02 
533	 8.61568194795385E-02 
534	 8.63388747195907E-02 
535	 8.63306744511925E-02 
536	 8.63726054087082E-02 
537	 8.64364819141151E-02 
538	 8.64375625797881E-02 
539	 0.086661282605685 
540	 8.68060606240085E-02 
541	 8.67941505247836E-02 
542	 8.68997012726394E-02 
543	 8.69996945667904E-02 
544	 8.70881071256735E-02 
545	 8.71752125363968E-02 
546	 8.72186712818522E-02 
547	 8.72798130659467E-02 
548	 8.73412446062744E-02 
549	 8.73266505392274E-02 
550	 8.74018828613832E-02 
