Wavelength	lmw-9-200001.asd
350	 5.73347162652601E-02 
351	 0.061554896016495 
352	 6.01255003618838E-02 
353	 5.45362644946393E-02 
354	 4.74283962027892E-02 
355	 0.049533316610858 
356	 5.42008391494121E-02 
357	 5.39586654573808E-02 
358	 5.74099865741093E-02 
359	 5.52720052446436E-02 
360	 4.91600610627526E-02 
361	 4.75867138672264E-02 
362	 5.07262097795528E-02 
363	 5.04868344529113E-02 
364	 4.55388023244359E-02 
365	 4.60127252231287E-02 
366	 0.050509965463556 
367	 5.31202721236447E-02 
368	 4.97644671902971E-02 
369	 4.77548312102903E-02 
370	 4.88847978617051E-02 
371	 5.14983774837037E-02 
372	 5.18661780134407E-02 
373	 5.03313138473756E-02 
374	 4.91368585191964E-02 
375	 4.93081837857216E-02 
376	 4.95516531519878E-02 
377	 4.74938514177978E-02 
378	 4.63518538906516E-02 
379	 4.92365073720522E-02 
380	 5.15414282598052E-02 
381	 5.11385476592115E-02 
382	 4.99851059045492E-02 
383	 5.23433656484715E-02 
384	 5.16345764898788E-02 
385	 5.14136321003803E-02 
386	 5.33517923466667E-02 
387	 5.27501921596154E-02 
388	 5.25004728243305E-02 
389	 5.16343965861807E-02 
390	 4.91147941406369E-02 
391	 0.048948338679621 
392	 5.08092693425322E-02 
393	 5.27360316617776E-02 
394	 5.19478345679129E-02 
395	 5.21867632727335E-02 
396	 5.23173537301959E-02 
397	 5.18401525993462E-02 
398	 5.34482082435775E-02 
399	 5.52020444942936E-02 
400	 5.61091908069698E-02 
401	 0.055784095082953 
402	 5.48383999909369E-02 
403	 5.45553217364692E-02 
404	 0.055057338103858 
405	 5.53225693996482E-02 
406	 5.59585005993405E-02 
407	 5.70990555794953E-02 
408	 5.80257365536184E-02 
409	 5.57083042422299E-02 
410	 5.51156255644812E-02 
411	 0.056402462984698 
412	 5.73908809594477E-02 
413	 5.74879019500777E-02 
414	 5.69028356980614E-02 
415	 5.63336736638841E-02 
416	 5.69435141668833E-02 
417	 5.72915471031596E-02 
418	 5.75924336005518E-02 
419	 5.81432319663311E-02 
420	 5.80922056856229E-02 
421	 5.77878182910749E-02 
422	 5.77218565496158E-02 
423	 5.82930415280954E-02 
424	 5.80068042121835E-02 
425	 5.75235012893085E-02 
426	 5.74238402576408E-02 
427	 5.76766270069325E-02 
428	 0.057751438086859 
429	 5.75514673345623E-02 
430	 5.72540109473571E-02 
431	 5.75350421108586E-02 
432	 5.76890108138711E-02 
433	 5.76726622218921E-02 
434	 5.81076930292435E-02 
435	 5.85616463366746E-02 
436	 5.91514971982197E-02 
437	 5.98127841378574E-02 
438	 5.96295118244269E-02 
439	 5.99631911439441E-02 
440	 0.060692618260209 
441	 6.10279653010422E-02 
442	 6.13619435307136E-02 
443	 6.19315196693446E-02 
444	 6.26641730888038E-02 
445	 6.30683818790484E-02 
446	 6.31697371189729E-02 
447	 6.33139716460205E-02 
448	 6.37673318299507E-02 
449	 6.39970996348984E-02 
450	 6.44069688260275E-02 
451	 6.49245481793057E-02 
452	 6.50897880078891E-02 
453	 6.53186646765802E-02 
454	 0.065600831801845 
455	 6.58856390667476E-02 
456	 6.62394575414451E-02 
457	 6.63917744196927E-02 
458	 6.64526019587218E-02 
459	 6.66785252193273E-02 
460	 6.69952017112849E-02 
461	 6.70512158152707E-02 
462	 6.68906469842305E-02 
