MM_11;-7.168.107;376.221.781
LMW_8;-7.167.952;376.222.177
MM_10;-7.167.996;376.221.321
MM_9;-7.167.856;376.221.255
MM_8;-7.167.826;376.220.801
MM_7;-7.167.713;376.220.575
LMW_7a;-7.167.623;376.220.073
LMW_6;-7.167.352;376.216.597
LMW_5;-7.167.449;376.217.009
MM_5;-7.167.445;376.215.158
MM_4;-71.673.983;376.215.402
MM_3;-71.673.567;376.215.633
MM_2;-71.673.285;376.215.631
MM_1;-71.672.672;376.216.021
LMW_4;-71.673.503;376.215.976
LMW_3;-71.665.946;37.621.396
LMW_2;-71.668.645;376.214.029
LMW_1;-71.658.423;376.220.166
MM_35;-71.690.384;376.224.105
MM_34;-71.690.321;376.225.087
MM_33;-71.691.098;376.226.688
MM_32;-71.694.032;376.226.704
MM_31;-71.695.846;376.227.312
LMW_23;-71.699.584;376.227.546
LMW_24;-71.699.115;376.226.914
LMW_22;-71.700.362;376.226.152
LMW_21;-7.170.576;376.225.812
LMW_20;-71.701.167;376.228.826
LMW_19;-71.698.112;376.229.758
LMW_18;-71.697.683;376.228.319
LMW_17;-71.695.702;376.228.574
LMW_16;-71.692.064;37.622.957
LMW_15;-7.169.026;376.227.666
LMW_14;-7.168.789;376.227.828
LMW_13_a;-71.687.156;376.227.668
LMW_12;-71.685.221;376.227.782
LMW_11;-71.683.937;376.227.081
LMW_10;-7.168.338;376.225.809
MM_12;-716.816;376.225.481
MM_13;-71.681.013;376.225.369
MM_14;-71.680.275;376.225.317
MM_15;-71.679.804;376.225.093
MM_16;-71.679.384;376.225.007
MM_17;-71.679.075;376.224.881
MM_19;-71.678.772;376.224.723
MM_21;-71.678.352;376.225.091
MM_20;-71.678.248;376.224.899
MM_22;-71.677.942;376.225.217
MM_26;-71.677.567;376.224.965
MM_28;-71.677.295;376.224.693
MM_27;-71.677.028;376.224.863
MM_25;-7.167.664;376.225
MM_23;-7.167.641;376.224.693
MM_24;-71.688.104;376.222.232
LMW_9_a;-71.682.582;376.223.584
MM_18;-71.683.884;376.222.078
LA_2024_1;-716.808;3.762.277
LA_2024_10;-716.728;376.251
LA_2024_11;-716.754;3.762.528
LA_2024_12;-716.782;3.762.517
LA_2024_13;-716.815;3.762.502
LA_2024_14;-716.833;3.762.469
LA_2024_15;-716.869;3.762.466
LA_2024_16;-716.886;3.762.448
LA_2024_17;-716.899;376.243
LA_2024_18;-716.908;3.762.409
LA_2024_19;-716.944;3.762.402
LA_2024_2;-716.783;3.762.298
LA_2024_20;-716.972;3.762.415
LA_2024_21;-716.696;3.762.412
LA_2024_22;-71.669;3.762.394
LA_2024_23;-716.663;3.762.389
LA_2024_24;-716.662;376.239
LA_2024_25;-716.608;376.236
LA_2024_26;-716.616;3.762.333
LA_2024_27;-716.588;3.762.316
LA_2024_28;-716.565;3.762.298
LA_2024_29;-716.538;3.762.293
LA_2024_3;-716.769;3.762.326
LA_2024_30;-716.509;3.762.286
LA_2024_31;-71.651;3.762.312
LA_2024_32;-716.507;3.762.337
LA_2024_4;-716.758;3.762.352
LA_2024_5;-716.742;3.762.384
LA_2024_6;-716.742;376.241
LA_2024_7;-716.726;3.762.432
LA_2024_8;-716.711;3.762.461
LA_2024_9;-716.708;3.762.497
