Wavelength	mm1900006.asd
350	 4.89206843529101E-02 
351	 5.17912960593893E-02 
352	 4.46762005793555E-02 
353	 3.26654537990494E-02 
354	 2.92091654197847E-02 
355	 3.31491272043341E-02 
356	 3.90131077681053E-02 
357	 4.20316080430469E-02 
358	 0.045229104062832 
359	 4.12289910534677E-02 
360	 3.67320088330396E-02 
361	 4.46332832067588E-02 
362	 4.09924146052801E-02 
363	 3.88129875341628E-02 
364	 4.30771775626905E-02 
365	 3.92213378302824E-02 
366	 3.78260165612978E-02 
367	 4.04474986143448E-02 
368	 4.43260064374003E-02 
369	 4.03893085265296E-02 
370	 3.94639171516443E-02 
371	 4.14790259510598E-02 
372	 3.94787547338463E-02 
373	 4.30545947267136E-02 
374	 0.044810344059584 
375	 0.041680826699554 
376	 4.15610379881872E-02 
377	 4.14725260011597E-02 
378	 4.09294338303796E-02 
379	 0.040494639850048 
380	 4.26131491535847E-02 
381	 4.27416692742202E-02 
382	 4.22477596851535E-02 
383	 4.61255984328746E-02 
384	 4.41334661204277E-02 
385	 0.041450259424241 
386	 4.24560482359801E-02 
387	 0.046185595847827 
388	 4.58057987314684E-02 
389	 4.37113990618274E-02 
390	 4.41615460639467E-02 
391	 4.40860502467564E-02 
392	 4.52359889294221E-02 
393	 4.69932004871306E-02 
394	 4.67665291268397E-02 
395	 4.53816927560015E-02 
396	 4.52753367139657E-02 
397	 4.73812036718127E-02 
398	 4.93320797731382E-02 
399	 4.92573393022657E-02 
400	 4.78112348988065E-02 
401	 4.67701626424677E-02 
402	 4.75642365076852E-02 
403	 0.048093167127704 
404	 4.78087350965815E-02 
405	 4.79289291885418E-02 
406	 4.86069948522345E-02 
407	 4.93657887536125E-02 
408	 4.95677696332649E-02 
409	 4.82661020695176E-02 
410	 4.82524817641228E-02 
411	 4.92471724419048E-02 
412	 4.96323507876456E-02 
413	 4.98478685587117E-02 
414	 4.97520745448731E-02 
415	 4.96183406125598E-02 
416	 5.03022089223479E-02 
417	 5.01280127132525E-02 
418	 4.98986849412142E-02 
419	 5.03322920341734E-02 
420	 4.96852927034184E-02 
421	 4.91161508357067E-02 
422	 4.92772599240524E-02 
423	 5.02348971282619E-02 
424	 4.98039022576996E-02 
425	 4.94538681796433E-02 
426	 4.99000075519378E-02 
427	 4.96441721950569E-02 
428	 4.93907320897525E-02 
429	 4.93361891739473E-02 
430	 4.94489700637318E-02 
431	 0.049354975664897 
432	 4.91915261454542E-02 
433	 4.90532760658025E-02 
434	 4.89669941996647E-02 
435	 4.90836789188228E-02 
436	 4.91586755556034E-02 
437	 4.90030037483232E-02 
438	 4.87149002182009E-02 
439	 4.87206583840381E-02 
440	 4.89804841180106E-02 
441	 4.92044718824963E-02 
442	 4.92521265181326E-02 
443	 4.93232890643916E-02 
444	 4.94438049289831E-02 
445	 4.93229831069259E-02 
446	 4.91698934713439E-02 
447	 4.91769607629786E-02 
448	 4.93991583003706E-02 
449	 4.93511036015807E-02 
450	 4.93778481155632E-02 
451	 4.96055398740782E-02 
452	 4.99280574045692E-02 
453	 4.99241318845615E-02 
454	 4.96843663616485E-02 
455	 4.94734173027222E-02 
456	 4.97661149312487E-02 
457	 4.98825048713745E-02 
458	 4.98301465988782E-02 
459	 4.98968498127604E-02 
460	 4.98991275364852E-02 
461	 4.98356902948081E-02 
462	 0.049752494982829 
463	 4.97361953201994E-02 
464	 4.98201452047512E-02 
465	 4.97652981672359E-02 
466	 4.94575613249401E-02 
467	 0.049547657954829 
468	 4.99013381832672E-02 
469	 0.050118628429498 
470	 4.96975814336869E-02 
471	 4.97919517409962E-02 
472	 4.99286566420816E-02 
473	 4.96957792046306E-02 
474	 4.94527411945627E-02 
475	 4.94594127571447E-02 
476	 4.96093915071495E-02 
477	 4.96447780555863E-02 
478	 4.96476984888205E-02 
479	 4.96980662239673E-02 
480	 4.97560026003251E-02 
481	 4.96097539440419E-02 
482	 4.97098933522435E-02 
483	 4.98671248975125E-02 
484	 4.98225411104193E-02 
485	 4.98132582246988E-02 
486	 4.97800125423924E-02 
487	 4.97058058508316E-02 
488	 4.96189455989188E-02 
489	 0.04961535432478 
490	 4.96710789877002E-02 
491	 0.049726712788062 
492	 4.96839990894277E-02 
493	 4.97210173861892E-02 
494	 4.97952041308813E-02 
495	 4.97774054978612E-02 
496	 4.97626378963738E-02 
497	 4.96729765786346E-02 
498	 4.95557270723264E-02 
499	 4.96677354996302E-02 
500	 4.97687677310294E-02 
501	 4.97339377745333E-02 
502	 0.049573155650562 
503	 0.049717684400518 
504	 4.97675607329115E-02 
505	 4.96664902662643E-02 
506	 4.96890026656273E-02 
507	 4.97872017536803E-02 
508	 4.98758658977434E-02 
509	 4.98979862714505E-02 
510	 4.99095140811897E-02 
511	 4.97972524613766E-02 
512	 4.96479304176087E-02 
513	 4.96372741911741E-02 
514	 4.96951018134547E-02 
515	 0.049728254599647 
516	 4.97386969729639E-02 
517	 4.99072544905755E-02 
518	 4.99363892168246E-02 
519	 0.04988320092864 
520	 4.98988828709211E-02 
521	 4.99561345612566E-02 
522	 4.99718355486188E-02 
523	 4.99636339737465E-02 
524	 5.00534647574245E-02 
525	 0.050067541002553 
526	 0.049999575781718 
527	 4.99141226611108E-02 
528	 0.049959635719799 
529	 5.00785348231249E-02 
530	 5.01747549900846E-02 
531	 5.01467917043918E-02 
532	 5.01337567168367E-02 
533	 5.01646089433132E-02 
534	 5.02207579566394E-02 
535	 5.02147387796905E-02 
536	 5.02588692669451E-02 
537	 5.03667768522862E-02 
538	 5.04962912059566E-02 
539	 5.05368052798672E-02 
540	 5.05056535062291E-02 
541	 5.04985335235433E-02 
542	 5.06999795494004E-02 
543	 5.08521379645462E-02 
544	 5.09171489737084E-02 
545	 5.09418367723741E-02 
546	 5.10347079286161E-02 
547	 5.11506485307977E-02 
548	 5.12622635423062E-02 
549	 5.13625398385065E-02 
550	 0.051460225608791 
551	 5.15691167703715E-02 
552	 5.17051804629826E-02 
553	 5.19001008737593E-02 
554	 5.20331856509587E-02 
555	 5.21498342573895E-02 
556	 5.23673428429513E-02 
557	 5.25844995093732E-02 
558	 5.27514129013913E-02 
559	 5.29111939888477E-02 
560	 5.32681289731684E-02 
561	 5.35635444108212E-02 
562	 5.37963988386514E-02 
563	 5.40528544787996E-02 
564	 5.43584217285558E-02 
565	 5.46747892562512E-02 
566	 5.50060026439817E-02 
567	 5.54067096374726E-02 
568	 5.58138300361656E-02 
569	 5.61979152104724E-02 
570	 5.65820130250483E-02 
571	 5.71397754774548E-02 
572	 5.76960932858987E-02 
573	 5.81817699828546E-02 
574	 0.058621001229272 
575	 5.91699326082176E-02 
576	 5.97779843948358E-02 
577	 6.03746911130312E-02 
578	 6.09140653590575E-02 
579	 6.15153872323837E-02 
580	 6.21450694399581E-02 
581	 6.27314461509045E-02 
582	 6.34435230758393E-02 
583	 6.41447287127414E-02 
584	 6.47914831021923E-02 
585	 6.55107298739593E-02 
586	 0.066288922658121 
587	 0.067077304329786 
588	 6.78419023132417E-02 
589	 6.86818310370477E-02 
590	 6.95159302142905E-02 
591	 7.03118368986818E-02 
592	 0.071090048694186 
593	 7.18320425753184E-02 
594	 0.072565246953349 
595	 7.33020404778095E-02 
596	 7.39865995074235E-02 
597	 7.47179727785164E-02 
598	 7.54602732912601E-02 
599	 7.61219200047771E-02 
600	 7.67964812656278E-02 
601	 7.75393899532699E-02 
602	 7.83146407430395E-02 
603	 0.078934542794336 
604	 7.95238972611411E-02 
605	 8.01529600646819E-02 
606	 8.08441341681372E-02 
607	 8.14634564790053E-02 
608	 8.20189334522199E-02 
609	 8.25619158863876E-02 
610	 8.31795885987913E-02 
611	 8.36866616912297E-02 
612	 8.41244198377573E-02 
613	 8.45612954733512E-02 
614	 8.49572886590972E-02 
615	 8.53455262233759E-02 
