Wavelength	mm2200000.asd
350	 3.30312107524948E-02 
351	 3.27951126828159E-02 
352	 3.13880074152469E-02 
353	 2.94433504994762E-02 
354	 0.027402379942373 
355	 2.38455627689324E-02 
356	 2.43782683574432E-02 
357	 3.21820793717794E-02 
358	 3.69483345853051E-02 
359	 3.56262876006971E-02 
360	 3.21608207049242E-02 
361	 3.35812830878167E-02 
362	 3.03598570821224E-02 
363	 3.01617883287453E-02 
364	 0.034078595612499 
365	 2.97542963471182E-02 
366	 2.88814089631548E-02 
367	 2.99623197112563E-02 
368	 0.029333229213734 
369	 3.03337896595566E-02 
370	 0.028952924063744 
371	 2.77562836147624E-02 
372	 3.27375016803286E-02 
373	 3.43598648605281E-02 
374	 3.40538135588129E-02 
375	 3.35034707474194E-02 
376	 3.21269439774573E-02 
377	 3.07238564312238E-02 
378	 3.10238855957381E-02 
379	 3.38254586421013E-02 
380	 0.035518474759819 
381	 3.49275107508534E-02 
382	 3.44997844041287E-02 
383	 3.83853147460004E-02 
384	 3.75906781307736E-02 
385	 3.50919847879183E-02 
386	 0.034491766536156 
387	 3.72967789156177E-02 
388	 3.97431061635838E-02 
389	 3.98344526673118E-02 
390	 3.69815313021834E-02 
391	 3.28796567402698E-02 
392	 3.39686215986032E-02 
393	 3.84551344171158E-02 
394	 0.038125223186052 
395	 3.86327614612174E-02 
396	 3.91519951995618E-02 
397	 3.89142848680543E-02 
398	 3.94885858711636E-02 
399	 4.00293989066864E-02 
400	 4.08531255666905E-02 
401	 4.20517923227861E-02 
402	 4.01215537525421E-02 
403	 3.84231165685976E-02 
404	 3.85295103365113E-02 
405	 3.97128912872278E-02 
406	 4.07879411874541E-02 
407	 4.09447865657679E-02 
408	 4.01019413504632E-02 
409	 3.94338880718913E-02 
410	 3.94326254971359E-02 
411	 3.98048960916667E-02 
412	 4.00183917735168E-02 
413	 4.10804803383415E-02 
414	 4.17195451713477E-02 
415	 4.15048957864401E-02 
416	 0.041290572286231 
417	 4.08851721601031E-02 
