Wavelength	mm1900001.asd
350	 3.75446597990134E-02 
351	 3.88022069517452E-02 
352	 3.40156286269568E-02 
353	 3.11937078926643E-02 
354	 0.044404795552577 
355	 3.46846189471041E-02 
356	 0.025257624312136 
357	 3.91755295857233E-02 
358	 3.68981017627899E-02 
359	 0.036396807530976 
360	 4.02767471598264E-02 
361	 4.07738784619473E-02 
362	 4.26685831768258E-02 
363	 4.30719494093856E-02 
364	 4.12278753308017E-02 
365	 4.11095721174598E-02 
366	 3.77775147672496E-02 
367	 3.43304137098652E-02 
368	 0.034528221020129 
369	 3.61489990581862E-02 
370	 3.79321955268976E-02 
371	 3.88374007269178E-02 
372	 3.84420617593427E-02 
373	 4.16984642172724E-02 
374	 4.24514191118947E-02 
375	 3.86620558625706E-02 
376	 3.75511432096375E-02 
377	 3.71703151231182E-02 
378	 0.038821816109093 
379	 4.29191918678776E-02 
380	 4.34256614779007E-02 
381	 4.13217522829713E-02 
382	 3.98057327188282E-02 
383	 4.27396489425259E-02 
384	 4.40039958615472E-02 
385	 4.33882254156295E-02 
386	 4.22182436651771E-02 
387	 4.29756691549446E-02 
388	 4.33801981704629E-02 
389	 4.31116084904996E-02 
390	 4.25134431191544E-02 
391	 4.17187384843129E-02 
392	 4.19918656064497E-02 
393	 4.35388195974302E-02 
394	 4.55140318398826E-02 
395	 4.55249871844484E-02 
396	 4.45485021817701E-02 
397	 4.41599551682089E-02 
398	 4.61580256700771E-02 
399	 4.69220240047605E-02 
400	 4.70465540214528E-02 
401	 4.81727392845596E-02 
402	 4.81830357056609E-02 
403	 0.048187243613304 
404	 4.79568934993571E-02 
405	 4.58917830410121E-02 
406	 4.68846379495074E-02 
407	 4.89513964656756E-02 
408	 4.95251581243331E-02 
409	 4.78790676641801E-02 
410	 4.78255443434396E-02 
411	 4.88976672660881E-02 
412	 4.88346294915187E-02 
413	 4.85936177488049E-02 
414	 4.87132711814632E-02 
415	 4.91257166505436E-02 
416	 4.90675301642229E-02 
417	 4.86810572641455E-02 
418	 4.85027885985022E-02 
419	 4.88414760303166E-02 
420	 4.90369050252962E-02 
421	 4.83325217794703E-02 
422	 4.79327903346654E-02 
423	 4.98096568409563E-02 
424	 4.98475096069516E-02 
425	 4.92811425232913E-02 
426	 4.91219531917326E-02 
427	 0.048622674368395 
428	 4.85355079358838E-02 
429	 4.87484106410276E-02 
430	 4.88693159906773E-02 
431	 4.86464850735889E-02 
432	 4.83524932426376E-02 
433	 0.048380399068759 
434	 4.91354821995175E-02 
435	 4.86807941507009E-02 
436	 4.81416928761333E-02 
437	 4.83965398377959E-02 
438	 4.79796785074972E-02 
439	 4.81985115909631E-02 
440	 4.87765074472414E-02 
441	 0.048764452595735 
442	 4.87230416673577E-02 
443	 4.86635935268605E-02 
444	 4.85892899382992E-02 
445	 4.85749829761397E-02 
446	 4.84196427922311E-02 
447	 4.85214174131648E-02 
448	 4.90908549127567E-02 
449	 4.88187207813478E-02 
450	 4.86707806171639E-02 
451	 4.88654463887712E-02 
452	 4.89377011276978E-02 
453	 4.90056166958473E-02 
454	 4.91050447385183E-02 
455	 4.92326623896603E-02 
456	 0.049308261637751 
457	 4.94509814502978E-02 
458	 4.93912800081067E-02 
459	 4.88622182102379E-02 
460	 4.89733621343422E-02 
461	 4.90736900792082E-02 
462	 4.89182653492357E-02 
463	 0.0490551535237 
464	 4.91549648429075E-02 
465	 4.91411890514122E-02 
466	 4.90853053137382E-02 
467	 4.93825741110072E-02 
468	 4.95520288488499E-02 
469	 4.94446446965763E-02 
470	 4.92220935408922E-02 
471	 4.92297651322443E-02 
472	 4.91788700385185E-02 
473	 4.89566541623998E-02 
474	 4.91780217198831E-02 
475	 4.91290185436818E-02 
476	 4.88659771901777E-02 
477	 4.87803611051089E-02 
478	 0.049006033513795 
479	 4.91226338530457E-02 
480	 4.90236512032777E-02 
481	 4.91013532958806E-02 
482	 0.049030493859428 
483	 4.90352517508701E-02 
484	 4.93004589067304E-02 
485	 4.92641411516962E-02 
486	 0.049100409417485 
487	 0.048984022119273 
488	 4.90449643972424E-02 
489	 0.048871760311789 
490	 4.87861409220824E-02 
491	 4.90111905971182E-02 
492	 4.92740698438914E-02 
493	 4.91527635626627E-02 
494	 4.89146275885404E-02 
495	 4.90682912567137E-02 
496	 4.90968180500857E-02 
497	 4.91026998106249E-02 
498	 4.91591138837425E-02 
499	 4.92133309771335E-02 
500	 4.91511329348397E-02 
501	 4.90670710667125E-02 
502	 4.90773875399605E-02 
503	 4.90927925964196E-02 
504	 4.90895746205633E-02 
505	 4.90572588464611E-02 
506	 4.90028407753093E-02 
507	 4.91302602734273E-02 
508	 4.91894024353517E-02 
509	 4.90529266623318E-02 
510	 0.049169716399613 
511	 4.92122315680675E-02 
512	 4.91307931008122E-02 
513	 4.90417685538248E-02 
514	 4.91307936435791E-02 
515	 4.91791188125508E-02 
516	 4.91374097568797E-02 
517	 4.93424148273014E-02 
518	 4.93353435085071E-02 
519	 4.92524688343759E-02 
520	 4.93411908653281E-02 
521	 4.93307577450661E-02 
522	 4.92916436369427E-02 
523	 4.93014043351651E-02 
524	 4.94205357992777E-02 
525	 4.93782346344624E-02 
526	 4.93576315651521E-02 
527	 4.94999213663821E-02 
528	 4.94792342620897E-02 
529	 4.94475239314402E-02 
530	 4.94426167665141E-02 
531	 0.049434620803713 
532	 4.95503600187094E-02 
533	 4.96522973713553E-02 
534	 4.96592252234438E-02 
535	 4.96718538844274E-02 
536	 4.97411220203558E-02 
537	 4.98394622170511E-02 
538	 4.99019992536408E-02 
539	 4.98705159228473E-02 
540	 4.99279960120385E-02 
541	 5.00864167155066E-02 
542	 5.01098170667242E-02 
543	 5.01530982208306E-02 
544	 5.02489015952398E-02 
545	 0.050377207559262 
546	 5.04443117486834E-02 
547	 5.05199247525944E-02 
548	 5.06031480498116E-02 
549	 5.06389637309952E-02 
550	 5.08075173313543E-02 
551	 5.10181634533683E-02 
552	 5.11770779879334E-02 
553	 5.13149921059683E-02 
554	 5.14580419851792E-02 
555	 5.16283461304542E-02 
556	 5.18442559590269E-02 
557	 5.21358746663262E-02 
558	 5.23566123244178E-02 
559	 5.25025952637006E-02 
560	 0.052862685995753 
561	 0.053100749540065 
562	 5.32808039833217E-02 
563	 5.35741152940755E-02 
564	 5.39287756524649E-02 
565	 5.42378864797346E-02 
566	 5.45051857346211E-02 
567	 5.48596656894212E-02 
568	 5.53210929538709E-02 
569	 5.57934168665394E-02 
570	 5.62123261407445E-02 
571	 5.67240307553443E-02 
572	 5.72725872248444E-02 
573	 5.78209550698905E-02 
574	 5.83503547606659E-02 
575	 5.88898688922037E-02 
576	 5.94663097513656E-02 
577	 6.00692448044508E-02 
578	 6.05915434486965E-02 
579	 6.12376112092845E-02 
580	 6.19509739805665E-02 
581	 6.25881263328005E-02 
582	 6.32666130822474E-02 
583	 6.39535277626247E-02 
584	 6.46410547045324E-02 
585	 6.53778018250431E-02 
586	 6.61552467299024E-02 
587	 6.69472074049932E-02 
588	 6.77391722561245E-02 
589	 6.86083765918498E-02 
590	 6.94305042060581E-02 
591	 7.02066935569959E-02 
592	 7.10528090729952E-02 
593	 7.18203295180904E-02 
594	 7.25642778706024E-02 
595	 7.33323165820792E-02 
596	 7.40430124287243E-02 
597	 0.07475556695132 
598	 7.54782287759274E-02 
599	 7.61959612219726E-02 
600	 0.076924909859015 
601	 7.76424171279291E-02 
602	 7.83253481453468E-02 
603	 7.89562766271422E-02 
604	 7.96035092602003E-02 
605	 8.02808506839611E-02 
606	 0.080964588532602 
607	 8.15569345274132E-02 
608	 8.21232239742784E-02 
609	 8.26843308375994E-02 
610	 8.32006293723084E-02 
611	 8.36977006411104E-02 
612	 8.42116494450747E-02 
613	 8.47283378375109E-02 
614	 8.50594853118928E-02 
615	 8.53914276694636E-02 
616	 0.085767834803744 
617	 8.61273545268258E-02 
618	 8.64817784368064E-02 
619	 8.67934269074672E-02 
620	 8.70607676704926E-02 
621	 8.73727516643703E-02 
622	 8.76755005447881E-02 
623	 8.79150436265869E-02 
624	 8.80701469412072E-02 
625	 8.83388583336687E-02 
626	 8.85932419035115E-02 
627	 8.87853923474856E-02 
628	 8.90068408443491E-02 
629	 8.92261418342125E-02 
630	 8.94242356817767E-02 
631	 8.95977705386346E-02 
632	 8.97906739153017E-02 
633	 8.99956668257495E-02 
634	 9.02037673737682E-02 
635	 9.04055057365852E-02 
636	 9.05940818944171E-02 
637	 9.07822925774159E-02 
638	 9.09688574148518E-02 
639	 9.11072567982115E-02 
640	 9.12376353065218E-02 
641	 9.14023833108636E-02 
642	 9.16314303479522E-02 
643	 9.18565462379739E-02 
644	 9.20674237745542E-02 
645	 9.22760993133012E-02 
646	 9.25206898008993E-02 
647	 0.092647820408805 
648	 0.092790464473538 
649	 0.093082640790276 
650	 9.32827287800178E-02 
651	 9.35141023293167E-02 
652	 0.093783572857614 
653	 9.39976547819544E-02 
654	 9.42844076574098E-02 
655	 9.45513172802943E-02 
656	 9.47479190206264E-02 
657	 9.50327055128567E-02 
658	 9.52732519993743E-02 
659	 9.54980604753465E-02 
660	 9.57949834610569E-02 
661	 9.60812647343744E-02 
662	 9.63773355196943E-02 
663	 9.66891904711013E-02 
664	 9.69867078227536E-02 
665	 9.73297554833453E-02 
666	 9.76479834862281E-02 
667	 0.097891146216245 
668	 0.098250574578624 
669	 9.86045197477949E-02 
670	 9.89265933994575E-02 
671	 9.92753500480745E-02 
672	 9.96449308760071E-02 
673	 0.10003502876254 
674	 0.100445520868073 
675	 0.100887589203725 
676	 0.101258942097204 
677	 0.101597934483739 
678	 0.101994722296918 
679	 0.102399935385587 
680	 0.10283713277671 
681	 0.103295935028274 
682	 0.103716216988074 
683	 0.104105113122902 
684	 0.104558370523855 
685	 0.10512308857574 
686	 0.105595596170137 
687	 0.106054179366733 
688	 0.106535766879503 
689	 0.107043520675479 
690	 0.107585500395533 
691	 0.108103171425721 
692	 0.108576973204681 
693	 0.109084037254361 
694	 0.109571131643882 
695	 0.110085581243168 
696	 0.110681503105994 
697	 0.111254101287594 
698	 0.111775524393409 
699	 0.112287913507457 
700	 0.112894308079605 
701	 0.113487893336905 
702	 0.114049981492562 
703	 0.114592148918748 
704	 0.115154427292846 
705	 0.115703623245951 
706	 0.116261139427107 
707	 0.116862999403119 
708	 0.117420693744712 
709	 0.118011270498491 
710	 0.11863924234112 
711	 0.119182485429965 
712	 0.119708267126735 
713	 0.120241049072901 
714	 0.120794176421735 
715	 0.121380550936947 
716	 0.121966501403368 
717	 0.122517453940476 
718	 0.123009508315795 
719	 0.123524237654732 
720	 0.124053560570534 
721	 0.124567480859089 
722	 0.125019595726563 
723	 0.12551053684317 
724	 0.126002078681934 
725	 0.12643095785102 
726	 0.126873347146177 
727	 0.12727430602685 
728	 0.127647780328907 
729	 0.128069670524035 
730	 0.128447306205911 
731	 0.128784091150824 
732	 0.129095446387054 
733	 0.129375810714106 
734	 0.129679937807072 
735	 0.129954164111363 
736	 0.130131511049957 
737	 0.130368946404009 
738	 0.13057210837154 
739	 0.130710962303472 
740	 0.130845042185561 
741	 0.130974941314229 
742	 0.131077438994356 
743	 0.131138028532801 
744	 0.131183793940128 
745	 0.131188662379086 
746	 0.131186931952837 
747	 0.131219861937021 
748	 0.131167285943088 
749	 0.131080133648542 
750	 0.131001028965933 
751	 0.130941517945337 
752	 0.13083558177517 
753	 0.130672836762376 
754	 0.130473858837055 
755	 0.130298739382558 
756	 0.130152561087074 
757	 0.129982619616112 
758	 0.129724655616599 
759	 0.129468615082583 
760	 0.129216978517262 
761	 0.128963279783771 
762	 0.128700611839655 
763	 0.128418748908779 
764	 0.128131069959111 
765	 0.127838251440801 
766	 0.127477413423535 
767	 0.127153249360081 
768	 0.126854615324283 
769	 0.126515376212279 
770	 0.126150708770095 
771	 0.12577222595282 
772	 0.125394701009568 
773	 0.125034687821601 
774	 0.124645785461329 
775	 0.124266448702455 
776	 0.123919888671456 
777	 0.123534596374498 
778	 0.123143996241098 
779	 0.122768292796828 
780	 0.122411667324983 
781	 0.122016635119124 
782	 0.121629329138017 
783	 0.121253739081282 
784	 0.1208452761651 
785	 0.120457478736625 
786	 0.120084190722917 
787	 0.119710359446699 
788	 0.119325372683792 
789	 0.118980447127198 
790	 0.118619661301672 
791	 0.118186992265555 
792	 0.117847547846121 
793	 0.117516772646865 
794	 0.117156994176187 
795	 0.116783177886594 
796	 0.116378820526518 
797	 0.116023719501345 
798	 0.115737651298612 
799	 0.115408172711496 
800	 0.115083560644864 
801	 0.114761138255427 
802	 0.114425720154446 
803	 0.114063084030435 
804	 0.113747096815973 
805	 0.113457479742928 
806	 0.113127238788216 
807	 0.112853139606212 
808	 0.112566045580672 
809	 0.112253166930754 
810	 0.111994584933265 
811	 0.111737506900592 
812	 0.111445028149508 
813	 0.111128181577329 
814	 0.110916952925713 
815	 0.110709144623276 
816	 0.110459235737345 
817	 0.110166455394959 
818	 0.109920508044229 
819	 0.109710049204038 
820	 0.109506367661205 
821	 0.10927555622255 
822	 0.1090398840275 
823	 0.108805490426029 
824	 0.108583961294381 
825	 0.10839732149135 
826	 0.108250873999819 
827	 0.108077381000198 
828	 0.107843917947417 
829	 0.107694167878434 
830	 0.107479506641592 
831	 0.107245333823565 
832	 0.107113127247495 
833	 0.107039180832583 
834	 0.106925483379982 
835	 0.106767427733772 
836	 0.106648412610059 
837	 0.106534514190793 
838	 0.106407218723438 
839	 0.106273278842432 
840	 0.106178716609475 
841	 0.106066936639335 
842	 0.105952939453267 
843	 0.105857545540164 
844	 0.105749048684185 
845	 0.105707582731258 
846	 0.105662701822597 
847	 0.105524539527044 
848	 0.105524647512762 
849	 0.1054921116478 
850	 0.105398700030215 
851	 0.105353238782903 
852	 0.105327132445008 
853	 0.105306501807263 
854	 0.105278700078949 
855	 0.105233376409121 
856	 0.105233154999924 
857	 0.105226066321098 
858	 0.105182233860886 
859	 0.105200627125569 
860	 0.105215156290976 
861	 0.105235547509687 
862	 0.105276863926322 
863	 0.1052553028224 
864	 0.1052792043832 
865	 0.105354742070692 
866	 0.105416991814659 
867	 0.105420823686806 
868	 0.105436016257366 
869	 0.105496810543326 
870	 0.105585813222813 
871	 0.105679203133953 
872	 0.10573789769497 
873	 0.105770800141868 
874	 0.105861562076999 
875	 0.10596591470292 
876	 0.106069623968518 
877	 0.106168927281879 
878	 0.106266339623714 
879	 0.106397301305555 
880	 0.10652552619546 
881	 0.106622984536926 
882	 0.106809960343078 
883	 0.106971200985197 
884	 0.107082437600805 
885	 0.107185145368511 
886	 0.107340643667137 
887	 0.107558697959435 
888	 0.10776900162159 
889	 0.10786724498303 
890	 0.108050953301525 
891	 0.108223626057862 
892	 0.108367088634554 
893	 0.108598709408579 
894	 0.108796839555311 
895	 0.109010754574413 
896	 0.109256424941385 
897	 0.109432325453886 
898	 0.109693892875133 
899	 0.109948233812593 
900	 0.110126729646136 
901	 0.11040272973203 
902	 0.110688299726651 
903	 0.110953558140249 
904	 0.111203142483262 
905	 0.111496698273578 
906	 0.11179560229145 
907	 0.112087504082452 
908	 0.112378205922885 
909	 0.112688342330375 
910	 0.113017314716803 
911	 0.113302062107499 
912	 0.11348856208327 
913	 0.113844936610151 
914	 0.114238547532837 
915	 0.114599182385172 
916	 0.114953825829898 
917	 0.11536937837698 
918	 0.115732736765527 
919	 0.116040048899603 
920	 0.116427307461079 
921	 0.116829192154414 
922	 0.117244301233652 
923	 0.117671121031272 
924	 0.118097719374703 
925	 0.118558089983354 
926	 0.119006720403664 
927	 0.119406524484163 
928	 0.119765346079062 
929	 0.120300227951116 
930	 0.120863742708524 
931	 0.121324848457343 
932	 0.121825445299662 
