Wavelength	mm1300009.asd
350	 7.36687557945303E-02 
351	 7.66079262250071E-02 
352	 6.74232443228501E-02 
353	 5.64882164963203E-02 
354	 6.84030983724134E-02 
355	 6.97028082567357E-02 
356	 6.54979920875708E-02 
357	 6.69574980292525E-02 
358	 6.69359397432099E-02 
359	 0.064311747164644 
360	 6.16508671663779E-02 
361	 0.062884117883559 
362	 6.01383981301722E-02 
363	 0.060091486952641 
364	 6.36959689478369E-02 
365	 0.060050117343744 
366	 6.27036285934684E-02 
367	 6.66233545197558E-02 
368	 6.50055148624142E-02 
369	 6.50897589541859E-02 
370	 6.38529954525317E-02 
371	 6.28814756619906E-02 
372	 6.62662078302116E-02 
373	 6.77849575819462E-02 
374	 6.71509324811766E-02 
375	 6.56781210085442E-02 
376	 6.59022510609176E-02 
377	 6.59953906430431E-02 
378	 6.72028581215212E-02 
379	 7.04900440302427E-02 
380	 0.072604935538051 
381	 7.07509810134225E-02 
382	 6.78503279515101E-02 
383	 7.01920879048684E-02 
384	 7.07838271402274E-02 
385	 7.04225483641483E-02 
386	 0.070391906503841 
387	 7.04740644282051E-02 
388	 7.32449822586927E-02 
389	 7.52215869576099E-02 
390	 7.30269893673643E-02 
391	 7.32333828714934E-02 
392	 7.47952586928185E-02 
393	 7.66834321098712E-02 
394	 7.80815442186658E-02 
395	 7.58950302665244E-02 
396	 7.44195817499714E-02 
397	 7.62991933093492E-02 
398	 7.84355766986087E-02 
399	 7.94395013749569E-02 
400	 7.89098200108627E-02 
401	 7.75421562365933E-02 
402	 7.87660580203981E-02 
403	 7.92731826415048E-02 
404	 7.87686384532507E-02 
405	 8.02319933555721E-02 
406	 7.97359654136612E-02 
407	 7.97435176728906E-02 
408	 8.15768553897742E-02 
409	 8.03556259372685E-02 
410	 7.96289797143455E-02 
411	 8.02143092392322E-02 
412	 8.14113372579391E-02 
413	 8.19718781763992E-02 
414	 8.13841245421402E-02 
415	 8.03928876590309E-02 
416	 0.081158416367293 
417	 8.15930291754128E-02 
418	 8.18866366457068E-02 
419	 8.24432791758189E-02 
420	 8.25019524640856E-02 
421	 8.18446430152327E-02 
422	 8.12725841098359E-02 
423	 8.19870134603958E-02 
424	 8.21269985138399E-02 
425	 8.20124758031412E-02 
426	 8.20356521635717E-02 
427	 8.21864347733507E-02 
428	 8.23370030011237E-02 
429	 8.23637137439203E-02 
430	 0.082272527041937 
431	 8.27206484868116E-02 
432	 0.082703103627362 
433	 8.23879772895274E-02 
434	 0.083043013258864 
435	 8.30091582769119E-02 
436	 8.28738589265894E-02 
437	 8.31674281353495E-02 
438	 0.083090314426371 
439	 0.083038341621312 
440	 8.31552496875311E-02 
441	 8.34212446834525E-02 
442	 8.36163139666036E-02 
443	 8.35285369768932E-02 
444	 8.32683797812581E-02 
445	 8.34086658474334E-02 
446	 8.34906317703671E-02 
447	 8.36502768137741E-02 
448	 8.40175394847998E-02 
449	 8.39693442056981E-02 
450	 8.40226400046269E-02 
451	 8.42326056356107E-02 
452	 8.42471967574192E-02 
453	 8.41537983515016E-02 
454	 8.42160092633387E-02 
455	 8.45041490272469E-02 
456	 8.45601042470987E-02 
457	 8.45231081040105E-02 
458	 8.45067538596708E-02 
459	 8.45969680758484E-02 
460	 8.46663217163145E-02 
461	 8.48435925604788E-02 
462	 8.50310297474497E-02 
463	 8.47821001679749E-02 
464	 8.46347505008039E-02 
465	 8.47534096318948E-02 
466	 8.51313136176913E-02 
467	 8.56566657482542E-02 
468	 8.56156751463181E-02 
469	 8.52098339319994E-02 
470	 8.53331397617668E-02 
471	 8.54251040960027E-02 
472	 8.54528606563018E-02 
473	 8.54448631279802E-02 
474	 8.53342734237392E-02 
475	 8.55147929355964E-02 
476	 8.57001545330328E-02 
477	 8.54500099738636E-02 
478	 0.085588658808307 
479	 8.58305708290875E-02 
480	 8.59467135317411E-02 
481	 8.59224512504787E-02 
482	 8.59792535467667E-02 
483	 0.086092471868244 
484	 8.61956105383963E-02 
485	 8.64183219121647E-02 
486	 8.63061413614321E-02 
487	 8.59840541329172E-02 
488	 8.60396897549394E-02 
489	 8.62893585072132E-02 
490	 8.63612783466188E-02 
491	 8.61749414048679E-02 
492	 8.64655633632174E-02 
493	 8.65855283821017E-02 
494	 0.086571274910254 
495	 8.67244869318497E-02 
496	 0.086753882454281 
497	 8.67021033436877E-02 
498	 8.66762082009514E-02 
499	 8.68356952425096E-02 
500	 8.69042362639478E-02 
501	 8.69562134661136E-02 
502	 0.087088384339698 
503	 8.70085518336575E-02 
504	 8.68991065846564E-02 
505	 0.086903192504264 
506	 8.70940392944253E-02 
507	 8.71571356542612E-02 
508	 8.71823603660149E-02 
509	 8.72687438598764E-02 
510	 8.73098663706533E-02 
511	 8.73693527799781E-02 
512	 8.73994216187361E-02 
513	 8.73296918179906E-02 
514	 8.74528530933892E-02 
515	 8.75373906304527E-02 
516	 8.74971810687682E-02 
517	 8.75946206570263E-02 
518	 8.76657571969092E-02 
519	 8.77183438872205E-02 
520	 8.77928376755363E-02 
521	 8.78012526330179E-02 
522	 8.78674986670658E-02 
523	 8.79531855603598E-02 
524	 8.78474888022169E-02 
525	 8.78853617447081E-02 
526	 8.79863979612242E-02 
527	 8.80332585735265E-02 
528	 8.81219063852301E-02 
529	 8.80904374960466E-02 
530	 8.80371773740432E-02 
531	 0.088201355088614 
532	 8.83251154256005E-02 
533	 8.84039023291317E-02 
534	 8.84659480979016E-02 
535	 0.088521827616904 
536	 8.86109192843402E-02 
537	 8.86969234736529E-02 
538	 8.87297793050736E-02 
539	 8.87926002756921E-02 
540	 8.88711294766674E-02 
541	 8.89426305990605E-02 
542	 8.89827858142095E-02 
543	 8.90631373703668E-02 
544	 8.91533882245451E-02 
545	 8.92141379127891E-02 
546	 8.92921276106704E-02 
547	 8.93677164639471E-02 
548	 8.94376925249602E-02 
549	 8.95138010055019E-02 
550	 8.95858208885329E-02 
551	 8.96935319172948E-02 
552	 8.98433641734095E-02 
553	 8.99338343215429E-02 
554	 9.00162903740149E-02 
555	 9.01393385670283E-02 
556	 9.03332143949006E-02 
557	 9.04538072138375E-02 
558	 9.06498724614787E-02 
559	 9.09635946017423E-02 
560	 9.12025417608335E-02 
561	 0.091361860893192 
562	 9.14845850043925E-02 
563	 9.16404921984809E-02 
564	 9.19020318767017E-02 
565	 9.21086647049419E-02 
566	 9.22101589046517E-02 
567	 9.22957368457625E-02 
568	 9.25377931942574E-02 
569	 9.28820267933584E-02 
570	 9.32418798233017E-02 
571	 9.36514588593993E-02 
572	 9.40345901580234E-02 
573	 0.094370053198422 
574	 0.094682185133052 
575	 0.095012358701031 
576	 9.54179265681668E-02 
577	 0.095883782639791 
578	 9.62344802701823E-02 
579	 9.65731067060962E-02 
580	 9.68994633493466E-02 
581	 9.71905531821013E-02 
582	 0.097557660626099 
583	 9.79125250838554E-02 
584	 0.098267872758701 
585	 9.88061188802272E-02 
586	 9.94188979496275E-02 
587	 0.100007593475411 
588	 0.100529360405123 
589	 0.101183275126674 
590	 0.101794500175621 
591	 0.102341068089285 
592	 0.102946313147082 
593	 0.103480568174974 
594	 0.10398684750817 
595	 0.104473259331936 
596	 0.104745650896276 
597	 0.105064222660349 
598	 0.105439588600346 
599	 0.105765080193092 
600	 0.10619017137554 
601	 0.106679385243385 
602	 0.107182011988725 
603	 0.107665427320143 
604	 0.108103344049343 
605	 0.108551628094736 
606	 0.109074354420407 
607	 0.109605604650306 
608	 0.110063371638763 
609	 0.110480600612982 
610	 0.111016893251113 
611	 0.111444449857495 
612	 0.111739042781551 
613	 0.11195606198999 
614	 0.112228092719504 
615	 0.112498713380337 
616	 0.112768944919566 
617	 0.113071676400811 
618	 0.113340302497617 
619	 0.113551295151389 
620	 0.113735723488033 
621	 0.114034175279949 
622	 0.114285371315483 
623	 0.114481216852488 
624	 0.114669128922485 
625	 0.114812522198256 
626	 0.11497758865057 
627	 0.115182168263251 
628	 0.115371385082046 
629	 0.115547643060881 
630	 0.115737676676532 
631	 0.115950078294218 
632	 0.116089398776628 
633	 0.116223315165042 
634	 0.116384124448917 
635	 0.116568434335603 
636	 0.116732489152913 
637	 0.116886745957907 
638	 0.117037627860343 
639	 0.117145715142463 
640	 0.117332055229546 
641	 0.117535472854537 
642	 0.117638278248241 
643	 0.117815527237352 
644	 0.117982582032198 
645	 0.118106730032679 
646	 0.118265347817361 
647	 0.118419084031928 
648	 0.118576793167271 
649	 0.118754656236658 
650	 0.11894564870234 
651	 0.119127865730922 
652	 0.119300437866377 
653	 0.119480429375188 
654	 0.119649674171233 
655	 0.11980932465569 
656	 0.11998023098239 
657	 0.120231969222573 
658	 0.120438341641333 
659	 0.120610819885738 
660	 0.120819932542777 
661	 0.121026290361196 
662	 0.121252338888202 
663	 0.121491762292774 
664	 0.121688501009541 
665	 0.121907031584897 
666	 0.122128147592229 
667	 0.122324307446992 
668	 0.122534658473656 
669	 0.122763198556583 
670	 0.123020170273951 
671	 0.123313076254595 
672	 0.123517109656147 
673	 0.123720961535164 
674	 0.12400037621568 
675	 0.124321944138737 
676	 0.124570911022666 
677	 0.124804065434656 
678	 0.125128042288665 
679	 0.125393757337261 
680	 0.125661310620607 
681	 0.125954313585522 
682	 0.126225931234753 
683	 0.126517805562989 
684	 0.126816869593456 
685	 0.127111041481315 
686	 0.127448315521425 
687	 0.127779182527464 
688	 0.128090102697581 
689	 0.12839548891797 
690	 0.128702279226237 
691	 0.129036250922003 
692	 0.129396317895956 
693	 0.12972622296333 
694	 0.130043187970964 
