Wavelength	LMW_1100005.asd
350	 4.26928147241393E-02 
351	 3.93957687019026E-02 
352	 3.23712722770633E-02 
353	 2.70460027587739E-02 
354	 2.97295998037491E-02 
355	 3.80060954294044E-02 
356	 4.36775006760264E-02 
357	 4.15635739805512E-02 
358	 4.30176047997867E-02 
359	 4.10722515005274E-02 
360	 3.65644034014441E-02 
361	 3.54347056014814E-02 
362	 0.03766527384067 
363	 3.93553767654525E-02 
364	 3.84478826086745E-02 
365	 3.63320750021032E-02 
366	 3.48036529952379E-02 
367	 3.40109797221039E-02 
368	 3.40289195146733E-02 
369	 3.75980935118641E-02 
370	 3.73883351226617E-02 
371	 3.48260299150321E-02 
372	 3.68269918074903E-02 
373	 3.89906881857062E-02 
374	 3.87212853006307E-02 
375	 3.66172222653955E-02 
376	 3.83153925292748E-02 
377	 3.87010944448411E-02 
378	 3.89957743653051E-02 
379	 4.12910291925688E-02 
380	 4.35943995798056E-02 
381	 4.32650106688348E-02 
382	 4.15186486098251E-02 
383	 4.21484850641884E-02 
384	 4.23557705481402E-02 
385	 4.13514318797219E-02 
386	 0.040183855314143 
387	 4.32049616498589E-02 
388	 4.27743356866773E-02 
389	 4.04040352404731E-02 
390	 0.039999504095073 
391	 4.12890933094035E-02 
392	 4.31809744853133E-02 
393	 4.51207331718473E-02 
394	 4.69691053559197E-02 
395	 4.57647000889743E-02 
396	 4.45895726665392E-02 
397	 4.52883639307722E-02 
398	 4.49010446450881E-02 
399	 4.48588209926943E-02 
400	 4.57025710326591E-02 
401	 4.72204380132222E-02 
402	 4.69637712790801E-02 
403	 4.70756403033964E-02 
404	 4.75854885656661E-02 
405	 4.62747644856456E-02 
406	 4.70094870511662E-02 
407	 4.84895657219049E-02 
408	 4.89478893945334E-02 
409	 4.79741338595628E-02 
410	 4.75749597034764E-02 
411	 4.76721379992235E-02 
412	 4.73538776878106E-02 
413	 4.75017136738914E-02 
414	 4.85158566885062E-02 
415	 4.97018627192503E-02 
416	 4.90685128769105E-02 
417	 4.83406382558164E-02 
418	 4.86640256404367E-02 
419	 5.00192376159367E-02 
420	 4.91203912209773E-02 
421	 0.048614234012193 
422	 4.87999303933304E-02 
423	 0.048474498510781 
424	 4.82282014632605E-02 
425	 4.85522459050941E-02 
426	 4.91969082236099E-02 
427	 4.85772470584069E-02 
428	 4.81332855323454E-02 
429	 4.80947960715635E-02 
430	 4.82684881002998E-02 
431	 4.85552052496833E-02 
432	 4.81435961037745E-02 
433	 4.74765492128691E-02 
434	 4.81048092129652E-02 
435	 4.84125046237218E-02 
436	 4.82086122579806E-02 
437	 4.77710968941696E-02 
438	 4.77901380357752E-02 
439	 4.79713909572713E-02 
440	 4.81095192581629E-02 
441	 4.80898074592486E-02 
442	 4.81643177114817E-02 
443	 4.84991764351482E-02 
444	 4.89044223155204E-02 
445	 4.86742590564167E-02 
446	 4.85602282737672E-02 
447	 4.85206693811255E-02 
448	 4.84121183845888E-02 
449	 4.87143412724278E-02 
450	 4.88049460020614E-02 
451	 4.87357513495656E-02 
452	 0.049104290184844 
453	 4.92389018131198E-02 
454	 4.90099628550957E-02 
455	 4.86178404568884E-02 
456	 4.88268045664924E-02 
457	 0.048928537768655 
458	 4.89635874735545E-02 
459	 4.92187364475195E-02 
460	 4.91161474109122E-02 
461	 4.90493149622953E-02 
462	 4.91881394596108E-02 
463	 4.92751467978742E-02 
464	 4.92621129714867E-02 
465	 4.92028226785181E-02 
466	 4.91596874828392E-02 
467	 4.90601114207729E-02 
468	 0.049015628581454 
469	 4.90146657951157E-02 
470	 4.89499614737425E-02 
471	 4.88746154709135E-02 
472	 4.89371375912958E-02 
473	 4.91158386546394E-02 
474	 4.89402145689689E-02 
475	 4.88389003773041E-02 
476	 4.88381483443761E-02 
477	 4.87993462204228E-02 
478	 0.048740052790112 
479	 4.88275656282021E-02 
480	 4.89816534818622E-02 
481	 4.87591410239175E-02 
482	 4.88712817520362E-02 
483	 0.049066917654249 
484	 4.89977326368804E-02 
485	 4.90916924733148E-02 
486	 4.90665398422875E-02 
487	 4.89354295389545E-02 
488	 4.89491718863026E-02 
489	 4.88201665804901E-02 
490	 4.88057310876696E-02 
491	 4.90290457011802E-02 
492	 4.91048929662929E-02 
493	 4.88333709800479E-02 
494	 4.84814259106963E-02 
495	 4.85081373013648E-02 
496	 4.88853546170737E-02 
497	 4.90212208599579E-02 
498	 4.88663540913868E-02 
499	 4.92634890808878E-02 
500	 4.91565466175468E-02 
501	 0.048792739870235 
502	 4.86948831984047E-02 
503	 4.87893823624002E-02 
504	 4.87739406653934E-02 
505	 4.86504384469566E-02 
506	 4.86916265696561E-02 
507	 4.86932778149387E-02 
508	 0.048755473188508 
509	 4.89107518535407E-02 
510	 4.88568503596392E-02 
511	 4.87991906023656E-02 
512	 4.88044451209252E-02 
513	 4.88574461231257E-02 
514	 4.89218995869304E-02 
515	 4.89273862856718E-02 
516	 4.88920081989116E-02 
517	 4.89943042884958E-02 
518	 4.90214567022661E-02 
519	 4.89630098690513E-02 
520	 4.88950015548983E-02 
521	 4.89471536396854E-02 
522	 4.90702858131296E-02 
523	 4.91572475458397E-02 
524	 4.90600332624799E-02 
525	 4.90013016540079E-02 
526	 4.89931892472228E-02 
527	 0.049010897626465 
528	 4.90889458295498E-02 
529	 4.91256576336121E-02 
530	 4.91351917236413E-02 
531	 4.92014963290851E-02 
532	 4.92591760100815E-02 
533	 4.92896600254614E-02 
534	 4.93061545697991E-02 
535	 4.93880638873823E-02 
536	 4.93418811205135E-02 
537	 4.92885962254232E-02 
538	 4.94215935699331E-02 
539	 4.95103951439861E-02 
540	 4.95382272731171E-02 
541	 4.95519623864815E-02 
542	 0.049658263802521 
543	 4.97118621923803E-02 
544	 4.97645778008946E-02 
545	 0.049883584725933 
546	 4.99789202119409E-02 
547	 5.00143678599102E-02 
548	 5.00594645812339E-02 
549	 5.02543782022551E-02 
550	 5.03309557125039E-02 
551	 5.03666196500567E-02 
552	 5.04702724512358E-02 
553	 5.06776700461433E-02 
554	 0.050779557674381 
555	 5.08099964196666E-02 
556	 5.09269131289188E-02 
557	 5.11143187981157E-02 
558	 5.12623503762234E-02 
559	 5.13595085643951E-02 
560	 5.15885230857302E-02 
561	 5.17821100988851E-02 
562	 5.19986746665052E-02 
563	 5.23316080976731E-02 
564	 5.26317957366805E-02 
565	 5.29032824571012E-02 
566	 5.31974480178429E-02 
567	 5.36045176590469E-02 
568	 5.40297587045351E-02 
569	 5.43429848457686E-02 
570	 5.44973596446577E-02 
571	 5.47230408273397E-02 
572	 5.50097747348201E-02 
