Wavelength	LMW_2000005.asd
350	 4.43479652156714E-02 
351	 4.83202037348494E-02 
352	 3.98017388992739E-02 
353	 2.67969310006665E-02 
354	 3.26361234183865E-02 
355	 4.19385587013993E-02 
356	 4.64784221954462E-02 
357	 4.41154735647917E-02 
358	 4.77852321584267E-02 
359	 4.44785306550935E-02 
360	 3.79448536229819E-02 
361	 4.13447946173699E-02 
362	 4.15000953910002E-02 
363	 4.28733751491757E-02 
364	 4.51458823338128E-02 
365	 3.64439660930993E-02 
366	 3.71799882194857E-02 
367	 4.29239598271168E-02 
368	 4.48898719554873E-02 
369	 4.71123770924554E-02 
370	 4.84154343647031E-02 
371	 4.94367918998006E-02 
372	 5.16264137794815E-02 
373	 4.97748679751242E-02 
374	 4.74112853940152E-02 
375	 4.70603290477151E-02 
376	 4.75923794252577E-02 
377	 4.90533821767129E-02 
378	 5.11448049534871E-02 
379	 5.32893867143695E-02 
380	 5.44078284416118E-02 
381	 5.38670821624619E-02 
382	 5.31885592113148E-02 
383	 0.055136757977036 
384	 5.74195807159961E-02 
385	 5.73627625070191E-02 
386	 0.055677302657264 
387	 5.98099712698555E-02 
388	 6.06569814758895E-02 
389	 5.97278169666461E-02 
390	 0.060816223988916 
391	 6.09687227904775E-02 
392	 6.25374676844578E-02 
393	 6.47190493595557E-02 
394	 6.43390508978013E-02 
395	 6.68731218598806E-02 
396	 6.88906215307699E-02 
397	 6.85701230914735E-02 
398	 7.07131117440463E-02 
399	 7.23062204891313E-02 
400	 7.31888331537563E-02 
401	 7.41261911432084E-02 
402	 7.48685313198907E-02 
403	 7.61957351079613E-02 
404	 7.72438139020052E-02 
405	 7.56797610082213E-02 
406	 7.70691059843755E-02 
407	 0.079525596828908 
408	 8.06254898660208E-02 
409	 8.04910501515198E-02 
410	 8.01280770243822E-02 
411	 8.04301956215076E-02 
412	 8.18246784863748E-02 
413	 0.08229709644976 
414	 0.082267323199801 
415	 8.23175184983018E-02 
416	 8.29123215806432E-02 
417	 8.34305701576833E-02 
418	 8.37445003932123E-02 
419	 8.39204957708934E-02 
420	 0.084321483072946 
421	 8.37485390187227E-02 
422	 8.31070383083703E-02 
423	 0.084269179128525 
424	 8.40233345228186E-02 
425	 8.31138792002956E-02 
426	 8.24725924120394E-02 
427	 8.24348335366364E-02 
428	 8.21749873746574E-02 
429	 8.15810379210304E-02 
430	 8.09462057039674E-02 
431	 8.13715772182702E-02 
432	 8.08782364398912E-02 
433	 7.97843722615408E-02 
434	 8.05655239958114E-02 
435	 8.05158888628601E-02 
436	 0.080401922729174 
437	 8.09135339450627E-02 
438	 8.06530192404696E-02 
439	 8.09506719901791E-02 
440	 8.18658584847441E-02 
441	 8.27684488355092E-02 
442	 8.30952052376089E-02 
443	 8.34574287450025E-02 
444	 8.41441335585481E-02 
445	 8.47852319319406E-02 
446	 8.54629159885169E-02 
447	 8.59944404614904E-02 
448	 8.62614793218442E-02 
449	 0.08665501200218 
450	 8.72583384182658E-02 
451	 8.79666514646678E-02 
452	 8.85354675905261E-02 
453	 8.89853488839804E-02 
454	 8.93233660082005E-02 
455	 8.96184947426723E-02 
456	 9.01011137925687E-02 
457	 9.04631877906844E-02 
458	 9.06359572817956E-02 
459	 9.07026412611987E-02 
460	 9.09585669865435E-02 
461	 9.11697736088968E-02 
462	 9.12933501516753E-02 
463	 9.16241563444959E-02 
464	 9.17969951830128E-02 
465	 0.091920590902071 
466	 9.21688939904732E-02 
467	 9.24366926449655E-02 
468	 9.26031915285979E-02 
469	 9.26823192609556E-02 
470	 9.27991631796484E-02 
471	 9.30382417619642E-02 
472	 9.30837580137471E-02 
473	 9.28983560442043E-02 
474	 9.32770353962459E-02 
475	 9.35762478526597E-02 
476	 9.36017168798992E-02 
477	 9.34069501872578E-02 
478	 9.32647945280995E-02 
479	 9.33464474252342E-02 
480	 9.35878807524454E-02 
481	 9.36245109382103E-02 
482	 9.39324171902486E-02 
483	 9.42443228300344E-02 
484	 0.094227156167707 
485	 9.41304214915123E-02 
486	 9.40768850546897E-02 
487	 9.40875148823726E-02 
488	 9.41037206471129E-02 
489	 0.09422347950703 
490	 0.094370686354807 
491	 9.44685444802167E-02 
492	 9.45251049656372E-02 
493	 9.44154481882996E-02 
494	 9.43210657929335E-02 
495	 9.44923918764064E-02 
496	 9.44784710057041E-02 
497	 0.094554577047857 
498	 9.47746071376948E-02 
499	 9.47687290989462E-02 
500	 0.094656196187431 
501	 9.45747293652123E-02 
502	 9.46246214570385E-02 
503	 9.46915009397697E-02 
504	 9.47875418944179E-02 
505	 9.48412019529219E-02 
506	 9.47186272163274E-02 
507	 0.094679001353519 
508	 9.47937349843757E-02 
509	 9.49874430849804E-02 
510	 9.48922125376341E-02 
511	 0.094925308144546 
512	 9.50419807496667E-02 
513	 9.49797354255525E-02 
514	 9.49032644061718E-02 
515	 9.49218749090277E-02 
516	 9.50511728630904E-02 
517	 9.51753363255335E-02 
518	 9.52081520785436E-02 
519	 9.51768101779527E-02 
520	 9.51509918557078E-02 
521	 9.51644384805727E-02 
522	 9.51803217138514E-02 
523	 9.51544445278657E-02 
524	 9.50435342247755E-02 
525	 9.50458170189389E-02 
526	 9.51009506346071E-02 
527	 9.51227612038709E-02 
528	 9.51518381682315E-02 
529	 0.095139452486394 
530	 9.51144708111439E-02 
531	 9.51503129890209E-02 
532	 9.52042477401942E-02 
533	 9.52392415234522E-02 
534	 9.52542980844261E-02 
535	 9.53201023478884E-02 
536	 0.095420212862971 
537	 9.54424236498781E-02 
538	 9.53034071416284E-02 
539	 0.095383624879699 
540	 9.54373803965652E-02 
541	 9.54125620569504E-02 
542	 9.55839607337086E-02 
543	 9.55610107718032E-02 
544	 0.095455127971054 
545	 9.54649391266526E-02 
546	 9.55573828123171E-02 
547	 9.55668300009892E-02 
548	 9.55087284034186E-02 
549	 9.55484137356893E-02 
550	 9.56108054506792E-02 
551	 9.56773142863156E-02 
552	 9.57438150976199E-02 
553	 9.58241912642726E-02 
554	 9.58717423038566E-02 
555	 9.59151583954526E-02 
556	 9.60149854817171E-02 
557	 9.61241915603938E-02 
558	 9.62300334877429E-02 
559	 9.63428343967752E-02 
560	 9.65120562883187E-02 
561	 9.66304343203526E-02 
562	 0.096696930335293 
563	 9.67606566558424E-02 
564	 9.69167570394035E-02 
565	 9.70251074196275E-02 
566	 9.70406174216304E-02 
567	 9.70404812359498E-02 
568	 9.71744834826078E-02 
569	 9.73769923303862E-02 
570	 9.75674632051251E-02 
571	 9.78269718319568E-02 
572	 9.80546205815431E-02 
573	 9.82478417859381E-02 
574	 9.84703802229801E-02 
575	 9.86527995663085E-02 
576	 9.88743575687923E-02 
577	 9.91411645748357E-02 
578	 9.92428222417487E-02 
579	 9.93371088141235E-02 
580	 9.94474214245419E-02 
581	 9.95497704047332E-02 
582	 9.96896194160826E-02 
583	 9.98635371232529E-02 
584	 0.100051551458539 
585	 0.100216365980794 
586	 0.100434570481055 
587	 0.100691535850924 
588	 0.100939256618106 
589	 0.10111533605973 
590	 0.101317410272978 
591	 0.101583400375833 
592	 0.101886986203372 
593	 0.102125264450325 
594	 0.102372784591135 
595	 0.102664516664766 
596	 0.102825666681471 
597	 0.102989070957631 
598	 0.10313444187246 
599	 0.103184358620275 
600	 0.103334928262483 
601	 0.103457734007257 
602	 0.103494277050996 
603	 0.103576939685914 
604	 0.103673078406703 
605	 0.103797775933228 
606	 0.103961947631798 
607	 0.104089198982881 
608	 0.104185278319677 
609	 0.104301908679772 
610	 0.104531999640086 
611	 0.104628280341944 
612	 0.104681733164848 
613	 0.104795830787219 
614	 0.104816873957611 
615	 0.104819956731395 
616	 0.104835723292295 
617	 0.104866687178569 
618	 0.104992434658527 
619	 0.105063162788067 
620	 0.105019105481607 
621	 0.105065026045601 
622	 0.105106495505048 
623	 0.105125219833315 
624	 0.10513607189159 
625	 0.105195690519259 
626	 0.105207131064251 
627	 0.105176286445317 
628	 0.105259800195985 
629	 0.105265518018438 
630	 0.105256248797075 
631	 0.105311427809323 
632	 0.105286451418566 
633	 0.105277634522225 
634	 0.105308111892157 
635	 0.105336908445667 
636	 0.105364482455746 
637	 0.105374352965945 
