Wavelength	LMW_1500009.asd
350	 5.07704006733692E-02 
351	 5.45461024389391E-02 
352	 5.48297861060052E-02 
353	 5.25139534402315E-02 
354	 5.33537996759598E-02 
355	 5.46309179380134E-02 
356	 5.65064292541374E-02 
357	 5.89333831241165E-02 
358	 5.87777811069582E-02 
359	 5.58738097582165E-02 
360	 5.45049238284071E-02 
361	 5.98314654000037E-02 
362	 5.47419031319554E-02 
363	 5.12643815515179E-02 
364	 5.41720244453918E-02 
365	 5.11992317821946E-02 
366	 5.05688364600366E-02 
367	 5.30567460657204E-02 
368	 5.65646395949927E-02 
369	 5.64018334508556E-02 
370	 5.63832597017824E-02 
371	 0.05612489073989 
372	 5.28234416565524E-02 
373	 5.21393019031937E-02 
374	 5.20888987744474E-02 
375	 0.051859758315947 
376	 5.47234085974116E-02 
377	 0.054411508650465 
378	 5.34533284419379E-02 
379	 5.55030344867688E-02 
380	 5.74163865211486E-02 
381	 5.60082141295005E-02 
382	 5.25924840781127E-02 
383	 5.17275959462019E-02 
384	 5.34387744815225E-02 
385	 5.43294762951895E-02 
386	 0.053023005967312 
387	 5.27487251015254E-02 
388	 5.33774744203379E-02 
389	 5.34546818655647E-02 
390	 0.051956487456948 
391	 5.21424399397436E-02 
392	 5.31578071720316E-02 
393	 5.44173973401285E-02 
394	 5.56703598413023E-02 
395	 5.51968578148817E-02 
396	 0.052977023454872 
397	 5.10373462039757E-02 
398	 0.055712219913194 
399	 5.69657043653647E-02 
400	 5.60556183572849E-02 
401	 5.72438465527875E-02 
402	 5.58978551951009E-02 
403	 5.44620672433906E-02 
404	 5.43271380859978E-02 
405	 5.52970618283023E-02 
406	 5.49002854136551E-02 
407	 0.054827242762503 
408	 0.056041340750239 
409	 5.54349792406831E-02 
410	 0.054941324687724 
411	 5.52018329990274E-02 
412	 5.60862745200889E-02 
413	 5.67995768878228E-02 
414	 5.71154986045077E-02 
415	 5.70726029402351E-02 
416	 5.69505855738362E-02 
417	 5.61201950717967E-02 
418	 5.55892832799737E-02 
419	 0.056112383261031 
420	 5.63717215965396E-02 
421	 5.63941914139975E-02 
422	 5.64273840214201E-02 
423	 5.67612082785307E-02 
424	 5.65908660205227E-02 
425	 5.62145088454558E-02 
426	 5.60192788881793E-02 
427	 5.62979689474014E-02 
428	 5.67830655557521E-02 
429	 5.69504867634383E-02 
430	 5.64714948615294E-02 
431	 5.63140549018425E-02 
432	 5.61513067305526E-02 
433	 5.61866954448927E-02 
434	 5.71200232211343E-02 
435	 5.73607640636614E-02 
436	 5.71909098179974E-02 
437	 5.71266396246562E-02 
438	 0.057245455908384 
439	 5.74745232910144E-02 
440	 5.76038135099139E-02 
441	 5.74552800719703E-02 
442	 0.057682416903374 
443	 5.79652426448859E-02 
444	 5.80593763097595E-02 
