Reading No;Reading Type;Duration;Main;Low;High;Light;Time;User;Sigma Value;Units;Batch;Heat;Lot;Note;Sample;Mode;Ag;Ag 2-Sigma;As;As 2-Sigma;Au;Au 2-Sigma;Ba;Ba 2-Sigma;Bal;Bal 2-Sigma;Bi;Bi 2-Sigma;Ca;Ca 2-Sigma;Cd;Cd 2-Sigma;Co;Co 2-Sigma;Cr;Cr 2-Sigma;Cu;Cu 2-Sigma;Fe;Fe 2-Sigma;Hf;Hf 2-Sigma;Hg;Hg 2-Sigma;K;K 2-Sigma;Mn;Mn 2-Sigma;Mo;Mo 2-Sigma;Nb;Nb 2-Sigma;Ni;Ni 2-Sigma;Pb;Pb 2-Sigma;Pd;Pd 2-Sigma;Rb;Rb 2-Sigma;Re;Re 2-Sigma;Sb;Sb 2-Sigma;Se;Se 2-Sigma;Sn;Sn 2-Sigma;Sr;Sr 2-Sigma;Ta;Ta 2-Sigma;Th;Th 2-Sigma;Ti;Ti 2-Sigma;U;U 2-Sigma;V;V 2-Sigma;W;W 2-Sigma;Y;Y 2-Sigma;Zn;Zn 2-Sigma;Zr;Zr 2-Sigma
3017;Mining;20.04;19.66;;;;Thu Feb 29, 2024 - 09:36:10;User;1.5;ppm;;;;;180-649;Mining;<LOD;85.969;55.720;30.302;<LOD;43.702;;;9.798.666.875;2.842.853;<LOD;19.510;;;<LOD;102.747;<LOD;495.085;<LOD;507.267;391.550;42.969;164.366.035;1.046.034;<LOD;0.0000;<LOD;22.811;;;4.449.738;318.925;<LOD;24.933;401.676;10.818;177.249;57.430;1.588.593;31.068;<LOD;104.211;820.439;17.495;<LOD;0.0000;<LOD;177.953;<LOD;12.252;<LOD;114.977;955.147; 0.9289;<LOD;0.0000;131.733;17.028;21.964.719;1.740.005;21.282;14.174;<LOD;1.685.733;<LOD;0.0000;356.361;11.381;1.802.141;51.262;3.850.627;25.537
3018;Mining;20.10;19.93;;;;Thu Feb 29, 2024 - 09:38:23;User;1.5;ppm;;;;;LMW12;Mining;<LOD;94.063;7.711.786;130.916;<LOD;88.013;;;9.642.706.875;3.610.768;248.683;37.245;;;<LOD;111.166;<LOD;680.016;<LOD;522.985;865.089;56.950;302.530.664;1.394.582;<LOD;0.0000;58.288;27.818;;;<LOD;471.285;<LOD;15.397;54.240; 0.8694;198.525;64.612;19.217.056;109.205;<LOD;95.655;876.262;19.937;<LOD;0.0000;486.404;395.790;<LOD;26.181;<LOD;128.637;653.723; 0.8749;<LOD;0.0000;<LOD;62.850;22.259.868;1.774.717;<LOD;24.694;<LOD;1.591.611;<LOD;91.843;92.161;15.544;1.117.190;45.878;922.969;15.834
3019;Mining;19.69;19.62;;;;Thu Feb 29, 2024 - 09:38:52;User;1.5;ppm;;;;;LMW12;Mining;<LOD;86.642;6.685.620;118.337;<LOD;80.230;;;9.710.350.000;2.983.497;201.287;33.420;;;<LOD;102.398;<LOD;583.918;<LOD;487.037;842.302;53.095;242.016.465;1.224.984;<LOD;0.0000;99.359;26.462;;;267.682;207.157;<LOD;14.156;50.962; 0.8007;178.403;58.068;18.020.731;99.902;<LOD;87.917;592.969;15.947;<LOD;0.0000;<LOD;183.882;<LOD;21.285;<LOD;117.702;545.365; 0.7634;<LOD;0.0000;<LOD;56.202;18.432.507;1.641.483;<LOD;20.750;<LOD;1.005.607;<LOD;82.410;40.153;13.663;1.026.886;41.875;649.002;13.122
3020;Mining;19.19;19.04;;;;Thu Feb 29, 2024 - 09:39:19;User;1.5;ppm;;;;;LMW12;Mining;<LOD;90.395;7.630.260;128.221;<LOD;83.484;;;9.676.925.625;3.319.644;234.594;36.242;;;<LOD;106.885;<LOD;633.755;<LOD;524.342;992.603;58.076;272.881.699;1.328.941;<LOD;0.0000;100.172;27.884;;;<LOD;440.427;<LOD;14.635;50.204; 0.8414;192.393;59.932;19.108.979;107.039;<LOD;91.362;634.317;17.166;<LOD;0.0000;<LOD;192.512;<LOD;28.866;<LOD;122.733;625.547; 0.8426;<LOD;0.0000;<LOD;61.218;18.922.289;1.694.375;<LOD;22.418;<LOD;1.425.438;<LOD;85.061;56.488;14.689;946.691;42.288;698.182;14.167
3021;Mining;20.14;19.60;;;;Thu Feb 29, 2024 - 09:40:36;User;1.5;ppm;;;;;MM33;Mining;<LOD;96.104;5.574.318;204.985;<LOD;134.737;;;9.607.050.625;3.303.805;392.411;54.528;;;<LOD;113.007;<LOD;676.142;<LOD;465.732;1.288.781;64.176;308.266.602;1.382.327;<LOD;0.0000;174.565;37.093;;;368.673;217.194;<LOD;15.363;30.702; 0.8763;120.867;61.983;69.940.977;199.094;<LOD;97.367;99.551;12.855;<LOD;0.0000;<LOD;204.179;<LOD;41.627;349.592;88.954;105.344; 0.5845;<LOD;0.0000;<LOD;101.580;3.608.045;1.313.739;42.842;17.608;<LOD;959.261;<LOD;111.545;<LOD;35.940;2.171.028;59.924;415.534;13.751
3022;Mining;20.02;19.31;;;;Thu Feb 29, 2024 - 09:41:11;User;1.5;ppm;;;;;MM33;Mining;<LOD;97.071;5.540.477;197.872;<LOD;128.261;;;9.623.768.750;3.315.492;422.518;53.628;;;<LOD;114.183;<LOD;683.326;<LOD;494.295;1.330.256;66.563;301.938.691;1.417.028;<LOD;0.0000;243.662;37.773;;;309.087;222.702;<LOD;16.985;21.024; 0.8685;176.264;62.626;60.337.051;191.647;<LOD;98.353;128.927;12.735;<LOD;0.0000;<LOD;207.351;<LOD;48.242;<LOD;134.546;136.820; 0.6092;<LOD;0.0000;<LOD;98.606;3.051.669;1.345.087;<LOD;24.518;<LOD;945.551;<LOD;98.448;<LOD;34.837;2.126.365;61.038;468.887;14.163
3023;Mining;20.01;19.15;;;;Thu Feb 29, 2024 - 09:41:42;User;1.5;ppm;;;;;MM33;Mining;<LOD;95.283;5.017.963;205.764;<LOD;132.294;;;9.613.605.625;3.269.582;378.217;54.726;;;<LOD;112.295;<LOD;682.091;<LOD;472.609;1.159.267;63.016;305.547.832;1.406.832;<LOD;0.0000;248.636;38.514;;;<LOD;343.774;<LOD;15.105;35.147; 0.8694;199.391;63.473;68.326.406;200.889;<LOD;95.844;108.052;12.618;<LOD;0.0000;<LOD;201.566;<LOD;35.353;<LOD;131.637;121.390; 0.6057;<LOD;0.0000;<LOD;101.695;2.910.767;1.312.399;<LOD;24.862;<LOD;897.915;<LOD;101.102;<LOD;36.118;1.979.222;58.623;362.505;13.514
3024;Mining;20.25;19.74;;;;Thu Feb 29, 2024 - 09:42:59;User;1.5;ppm;;;;;LMW11;Mining;2.052.175;1.803.674;12.739.716;577.942;<LOD;382.924;;;6.651.516.250;31.801.113;536.210;147.382;;;<LOD;322.092;<LOD;2.525.346;<LOD;878.409;4.990.847;203.509;3.112.522.188;3.979.458;<LOD;0.0000;<LOD;168.610;;;<LOD;1.009.887;104.573;21.403;110.548;19.465;1.013.784;365.643;179.055.801;578.644;516.305;135.143;79.473;28.523;<LOD;0.0000;3.961.377;3.220.613;<LOD;107.137;8.105.322;200.947;101.286;14.063;<LOD;0.0000;<LOD;276.070;14.225.012;1.421.352;<LOD;51.108;<LOD;1.454.828;350.485;196.237;<LOD;107.021;7.619.069;192.327;399.996;30.661
3025;Mining;20.12;19.29;;;;Thu Feb 29, 2024 - 09:43:29;User;1.5;ppm;;;;;LMW11;Mining;1.558.375;1.369.962;11.945.461;520.146;<LOD;342.823;;;6.927.771.875;27.423.489;521.564;132.980;;;<LOD;266.925;<LOD;2.324.236;<LOD;847.424;4.255.903;178.069;2.856.973.750;3.685.445;<LOD;0.0000;212.252;87.378;;;1.003.286;413.701;72.041;19.541;107.686;17.687;983.635;318.529;164.414.355;519.891;562.433;126.938;64.614;26.122;<LOD;0.0000;3.084.509;2.508.252;<LOD;89.871;6.183.250;182.869;135.215;13.192;<LOD;0.0000;<LOD;247.087;13.212.777;1.362.987;<LOD;50.174;<LOD;1.357.491;<LOD;367.991;<LOD;95.067;6.556.915;168.075;380.053;27.648
3026;Mining;20.24;19.62;;;;Thu Feb 29, 2024 - 09:44:06;User;1.5;ppm;;;;;LMW11;Mining;1.951.553;1.715.311;11.384.150;575.336;<LOD;372.514;;;6.724.536.250;30.526.907;311.295;143.826;;;<LOD;248.701;<LOD;2.487.789;<LOD;884.002;5.152.861;202.830;3.034.190.000;3.884.508;<LOD;0.0000;<LOD;133.216;;;1.025.763;436.262;84.557;21.391;114.916;19.528;664.285;350.728;183.805.762;578.761;635.892;136.572;194.527;31.039;<LOD;0.0000;3.783.598;3.076.211;<LOD;96.147;7.796.783;200.549;111.832;14.152;<LOD;0.0000;<LOD;278.557;13.654.965;1.412.189;<LOD;52.566;<LOD;1.437.943;<LOD;354.875;<LOD;106.825;10.057.789;215.320;543.048;32.785
3027;Mining;20.37;19.84;;;;Thu Feb 29, 2024 - 09:45:17;User;1.5;ppm;;;;;LMW14;Mining;3.027.561;2.661.996;239.942.266;872.407;<LOD;508.078;;;7.054.666.250;29.356.289;3.224.203;236.616;;;641.482;256.552;<LOD;2.511.966;<LOD;961.641;6.673.212;231.002;2.457.822.188;4.064.782;<LOD;0.0000;1.296.314;166.530;;;<LOD;726.680;218.227;25.969;62.209;22.094;1.150.888;309.384;129.308.936;524.716;196.380;135.249;<LOD;49.200;<LOD;0.0000;15.434.609;369.844;1.861.841;102.217;17.237.316;231.494;91.841;13.831;<LOD;0.0000;<LOD;357.178;20.509.648;1.773.068;131.436;52.810;<LOD;2.391.455;<LOD;560.060;454.994;64.726;45.419.585;447.143;628.549;39.532
3028;Mining;19.85;19.76;;;;Thu Feb 29, 2024 - 09:45:46;User;1.5;ppm;;;;;LMW14;Mining;3.735.186;3.283.658;273.936.328;920.343;<LOD;539.115;;;6.865.005.000;32.369.294;4.052.899;253.909;;;1.206.518;482.454;<LOD;2.590.641;<LOD;995.657;8.159.611;255.899;2.605.005.312;4.182.535;<LOD;0.0000;1.556.994;179.972;;;585.524;444.352;250.167;26.982;85.217;22.783;1.338.989;329.983;117.231.250;512.481;756.376;144.273;<LOD;50.645;<LOD;0.0000;17.848.159;395.307;1.987.627;107.272;20.321.106;247.582;120.339;14.276;<LOD;0.0000;<LOD;369.595;21.309.167;1.776.971;83.773;54.003;<LOD;2.327.541;<LOD;682.952;558.217;63.656;54.214.429;494.465;651.902;40.222
3029;Mining;19.76;19.28;;;;Thu Feb 29, 2024 - 09:46:17;User;1.5;ppm;;;;;LMW14;Mining;3.509.975;3.085.837;241.782.148;944.524;<LOD;563.834;;;6.873.827.500;33.964.136;3.055.033;254.374;;;982.988;393.091;<LOD;2.750.032;<LOD;1.050.783;7.825.346;267.594;2.632.579.062;4.406.006;<LOD;0.0000;1.808.385;188.846;;;<LOD;751.135;230.252;28.065;41.351;23.614;1.508.228;354.745;126.503.799;561.664;542.240;150.508;<LOD;63.453;<LOD;0.0000;16.616.134;409.856;2.046.568;113.528;18.412.738;255.949;102.239;15.187;<LOD;0.0000;<LOD;383.186;23.114.390;1.918.880;83.730;58.261;<LOD;1.693.488;<LOD;590.515;498.112;69.529;44.404.893;478.779;524.889;41.615
3030;Mining;19.68;19.64;;;;Thu Feb 29, 2024 - 09:47:08;User;1.5;ppm;;;;;LMW15;Mining;32.952.937;11.722.684;1.044.716.953;29.183.889;<LOD;33.123.424;;;<LOD;0.0000;14.763.663;8.020.202;;;39.032.249;13.677.762;<LOD;42.659.659;<LOD;32.167.628;22.061.785;7.261.796;4.874.912.500;46.923.594;<LOD;0.0000;34.818.496;7.354.676;;;<LOD;32.494.116;<LOD;2.860.853;<LOD;2.710.329;20.090.227;9.615.592;3.330.884.062;43.315.610;26.981.221;11.915.458;<LOD;3.500.254;<LOD;0.0000;190.625.625;25.956.804;6.637.665;3.796.333;250.388.027;16.777.646;<LOD;1.858.420;<LOD;0.0000;<LOD;16.294.219;76.792.812;37.992.998;<LOD;5.814.466;<LOD;67.907.754;34.341.960;12.363.153;<LOD;6.664.385;<LOD;9.191.926;<LOD;3.402.636
