Wavelength	LMW800019.asd
350	 4.92014221093914E-02 
351	 5.24742747675857E-02 
352	 5.36161371927281E-02 
353	 4.94138231756777E-02 
354	 4.70197762507018E-02 
355	 4.71868730605114E-02 
356	 0.047468284624521 
357	 4.69062944617534E-02 
358	 5.49286871644976E-02 
359	 5.43701825784813E-02 
360	 0.048232517620881 
361	 5.11211382188981E-02 
362	 4.94718603367387E-02 
363	 0.048304256777029 
364	 5.02687026368868E-02 
365	 5.09499856511264E-02 
366	 5.15921715930017E-02 
367	 5.20695293042645E-02 
368	 5.25009842505433E-02 
369	 5.59297361923223E-02 
370	 5.33226582308145E-02 
371	 4.89458903706917E-02 
372	 5.45283102085791E-02 
373	 5.52589914302797E-02 
374	 5.49050166260952E-02 
375	 5.62255696193505E-02 
376	 5.60346528121101E-02 
377	 5.40289592636669E-02 
378	 5.27942099785239E-02 
379	 5.45359597841276E-02 
380	 5.62407921445886E-02 
381	 5.47471084842262E-02 
382	 5.25752729828516E-02 
383	 5.56103390144146E-02 
384	 5.53373609699379E-02 
385	 5.49196181589746E-02 
386	 5.62083606798206E-02 
387	 5.51539019276865E-02 
388	 5.58421179370395E-02 
389	 5.68261775855137E-02 
390	 5.59236535817856E-02 
391	 5.61304424060468E-02 
392	 5.72720206165738E-02 
393	 5.83350561939387E-02 
394	 5.79149892080525E-02 
395	 5.76687551712342E-02 
396	 5.80769655614575E-02 
397	 5.89448285589764E-02 
398	 5.91366459657471E-02 
399	 5.92422764266781E-02 
400	 5.96388020618981E-02 
401	 6.04044456312622E-02 
402	 6.03192229011643E-02 
403	 6.08861596628433E-02 
404	 6.17710252701155E-02 
405	 6.07801858834446E-02 
406	 6.06265950347601E-02 
407	 6.18098602258279E-02 
408	 6.32962569875647E-02 
409	 6.11865808197688E-02 
410	 6.00805048728494E-02 
411	 6.05275329700973E-02 
412	 6.11346060458477E-02 
413	 6.19350142552495E-02 
414	 6.21335336318353E-02 
415	 6.16622922202386E-02 
416	 6.13847524523356E-02 
417	 6.15439530560693E-02 
418	 6.19946201644899E-02 
419	 6.24190918158547E-02 
420	 6.24393678307219E-02 
421	 6.18490819177327E-02 
422	 6.13366495654152E-02 
423	 6.19465781053596E-02 
424	 6.21748166181066E-02 
425	 6.18403451329231E-02 
426	 6.12047116534418E-02 
427	 0.06092648379706 
428	 6.09114831799839E-02 
429	 6.09213209219888E-02 
430	 0.060783453843941 
431	 6.10233588384036E-02 
432	 6.10574539700755E-02 
433	 6.09145171903617E-02 
434	 0.06121900304265 
435	 6.14266179537965E-02 
436	 0.061349144247727 
437	 6.10243142631759E-02 
438	 6.08097711516552E-02 
439	 6.09808140742662E-02 
440	 6.13106177305437E-02 
441	 6.13628109363264E-02 
442	 0.061321019690439 
443	 6.13530863672244E-02 
444	 6.14681135406002E-02 
445	 6.14318886095543E-02 
446	 6.16697636464445E-02 
447	 6.19516561431374E-02 
448	 6.20121143861706E-02 
449	 6.23209756107871E-02 
450	 6.24062923418657E-02 
451	 6.23220423045163E-02 
452	 6.25565149081047E-02 
453	 6.27562926419378E-02 
454	 0.062734827793633 
455	 6.25372314153957E-02 
456	 6.26901678110679E-02 
457	 6.28725227253613E-02 
458	 6.30323671835846E-02 
459	 6.32121228518163E-02 
460	 6.32651509430641E-02 
461	 6.32023502333132E-02 
462	 6.31301888645444E-02 
463	 6.32617327849946E-02 
464	 6.34611065944913E-02 
465	 6.36598739009532E-02 
466	 6.37907181424807E-02 
467	 6.37002422199565E-02 
468	 0.063732162741359 
469	 6.38937318770908E-02 
470	 6.39201736342124E-02 
471	 6.39138350398453E-02 
472	 6.38792528091526E-02 
473	 6.38277465914546E-02 
474	 6.38071673699628E-02 
475	 0.063891346307542 
476	 6.40236761497758E-02 
477	 0.064092528658791 
478	 6.40686812549112E-02 
479	 6.41494374720533E-02 
480	 6.43087029129451E-02 
481	 6.41809525030601E-02 
482	 6.43868694916772E-02 
483	 6.45989263260796E-02 
484	 6.44462005287158E-02 
485	 6.45152655045265E-02 
486	 6.44530581547905E-02 
487	 6.43228279421269E-02 
488	 6.45086115668477E-02 
489	 6.44533687002628E-02 
490	 6.44068756594496E-02 
491	 6.45637848646445E-02 
492	 6.46605318383378E-02 
493	 6.45575106666398E-02 
494	 6.43901490443096E-02 
