Wavelength	LMW7 profile 200015.asd
350	 6.77225123021722E-02 
351	 6.47128170339824E-02 
352	 5.98746141347862E-02 
353	 5.81604820454498E-02 
354	 6.71443426883925E-02 
355	 6.64109891525716E-02 
356	 6.35752848775227E-02 
357	 6.80902560303273E-02 
358	 6.71868548155823E-02 
359	 6.48099563374837E-02 
360	 6.25130957221728E-02 
361	 6.01749001543689E-02 
362	 5.86592629695132E-02 
363	 6.01920065288775E-02 
364	 6.35777851325015E-02 
365	 6.20255465937773E-02 
366	 6.17723942352689E-02 
367	 6.26337488039159E-02 
368	 6.31143670479603E-02 
369	 6.42228065636832E-02 
370	 0.062917287983125 
371	 6.04460773419562E-02 
372	 6.08842843118872E-02 
373	 0.064903245234168 
374	 6.63158607283707E-02 
375	 6.38748111085684E-02 
376	 6.63811763644444E-02 
377	 6.54519504823865E-02 
378	 6.52171458820969E-02 
379	 7.05513232420132E-02 
380	 7.42383077704604E-02 
381	 7.17311189137175E-02 
382	 6.77923203388749E-02 
383	 7.27340602552271E-02 
384	 7.50841660046451E-02 
385	 7.54458639176769E-02 
386	 7.59455864571269E-02 
387	 7.82299024323337E-02 
388	 7.94502628074623E-02 
389	 8.01157893321938E-02 
390	 8.16849582881718E-02 
391	 8.45283127834061E-02 
392	 8.70050575119185E-02 
393	 8.89850173450262E-02 
394	 9.16298074863191E-02 
395	 0.094095897577343 
396	 9.61631959687152E-02 
397	 9.83175690236241E-02 
398	 0.102712774060099 
399	 0.105536643498321 
400	 0.106887574234433 
401	 0.108496277511161 
402	 0.112110321255425 
403	 0.115337677368436 
404	 0.11725641422376 
405	 0.118739520865121 
406	 0.122699910496406 
407	 0.127167561148164 
408	 0.129990466812834 
409	 0.131009795873408 
410	 0.132317580536801 
411	 0.134507766665834 
412	 0.137286970408974 
413	 0.140212356687209 
414	 0.141747212495878 
415	 0.142109721550597 
416	 0.143774864315459 
417	 0.144235531418556 
418	 0.144548217045248 
419	 0.145656147067805 
420	 0.14511624510066 
421	 0.144589819839681 
422	 0.144560009752253 
423	 0.144619881276388 
424	 0.143981159661324 
425	 0.143037227055371 
426	 0.142051694334932 
427	 0.140716566075186 
428	 0.13944298726673 
429	 0.138237234225106 
430	 0.136963826515891 
431	 0.13549432624298 
432	 0.13413603849596 
433	 0.133160302723386 
434	 0.132759527008004 
435	 0.132613137971402 
436	 0.132740253766301 
437	 0.133236637950367 
438	 0.134224592945775 
439	 0.135486112366682 
440	 0.137101044702796 
441	 0.139225095467797 
442	 0.141343607632217 
443	 0.143613977324648 
444	 0.146061333610354 
445	 0.148383688532841 
446	 0.150883341481797 
447	 0.153637676870147 
448	 0.156519900094092 
