Wavelength	LMW400001.asd
350	 0.126729639558645 
351	 0.128538966421469 
352	 0.126320159979327 
353	 0.123162503124738 
354	 0.126847543674135 
355	 0.127455696167803 
356	 0.12334146391533 
357	 0.118841223905316 
358	 0.132822874212547 
359	 0.132343463819024 
360	 0.122389548345306 
361	 0.12981299546968 
362	 0.129175671356104 
363	 0.128088002916462 
364	 0.130558130519382 
365	 0.128532496521178 
366	 0.129051670698554 
367	 0.129691040958258 
368	 0.128327118441991 
369	 0.135014255885356 
370	 0.137260746190613 
371	 0.135145269702282 
372	 0.137167925421357 
373	 0.139462568730578 
374	 0.139123367061567 
375	 0.136743734198219 
376	 0.138721194715606 
377	 0.139272841580581 
378	 0.139993073421735 
379	 0.142933299391673 
380	 0.142634858487151 
381	 0.142264138270252 
382	 0.14413481102498 
383	 0.148953296279013 
384	 0.148918888248981 
385	 0.148356585712792 
386	 0.15005301303255 
387	 0.150477420518119 
388	 0.150522146967242 
389	 0.150321809373524 
390	 0.15042395875071 
391	 0.154342229274319 
392	 0.156530867862858 
393	 0.156219072492291 
394	 0.156965395233728 
395	 0.158444112100008 
396	 0.160571624828222 
397	 0.162627928162647 
398	 0.162617528593991 
399	 0.161877374425025 
400	 0.162102002365244 
401	 0.164274827140506 
402	 0.164871444903886 
403	 0.165642018799584 
404	 0.166494389037483 
405	 0.165313566336971 
406	 0.166427796624316 
407	 0.168317855690221 
408	 0.169026660803526 
409	 0.168407950046496 
410	 0.168485871662281 
411	 0.169301803932916 
412	 0.169942090846879 
413	 0.170264487086494 
414	 0.17062707786251 
415	 0.17106386750744 
416	 0.171125877041446 
417	 0.17140376977194 
418	 0.171961200047097 
419	 0.1726238063681 
420	 0.172900467667079 
421	 0.173383271380206 
422	 0.173823146418127 
423	 0.173601839993581 
424	 0.174644389272591 
425	 0.174854104532171 
426	 0.173791786350617 
427	 0.174979387980453 
428	 0.175405091942414 
429	 0.175346798218412 
430	 0.175810306085023 
431	 0.175870684711251 
432	 0.176097270450376 
433	 0.176503374564052 
434	 0.176542298654362 
435	 0.176906646331906 
436	 0.177368329035443 
437	 0.177562263019634 
438	 0.177102860021642 
439	 0.177521797917026 
440	 0.178371961500272 
441	 0.178408608369018 
442	 0.178842592556275 
443	 0.179238078833909 
444	 0.179313144540151 
445	 0.179228826749548 
446	 0.17945113542376 
447	 0.1798392894689 
448	 0.180124466442758 
449	 0.180350294246347 
450	 0.180784276658614 
451	 0.181305857083233 
452	 0.181490912048386 
453	 0.181687841400341 
454	 0.181745296006556 
455	 0.181688981709397 
456	 0.182217644482677 
457	 0.182632798399365 
458	 0.182893527902315 
459	 0.183207239619044 
460	 0.183233527312108 
461	 0.183271781887872 
462	 0.183433889491551 
463	 0.183488631940734 
464	 0.183726719002549 
465	 0.184100643474563 
466	 0.184418683081318 
467	 0.184291651533561 
468	 0.18442381450528 
469	 0.184847002441717 
470	 0.18503967124147 
471	 0.185075461303963 
472	 0.185098954795942 
473	 0.185229437907369 
474	 0.185518568365234 
475	 0.185590581354033 
476	 0.185643587781068 
477	 0.186034699285451 
478	 0.186241635750458 
479	 0.186393103690415 
480	 0.186571217854556 
481	 0.186709364384729 
482	 0.186959118382042 
483	 0.187171007063566 
484	 0.187207381572515 
485	 0.187326055083482 
486	 0.187432101620708 
487	 0.187563579227458 
488	 0.187846536018838 
489	 0.187824991374158 
490	 0.18784297764198 
491	 0.188135954105654 
492	 0.188357586838942 
493	 0.188356581735112 
494	 0.188302407357079 
495	 0.188477047654726 
496	 0.188639826533578 
497	 0.18879353594439 
498	 0.188961907007835 
499	 0.189172510780766 
500	 0.189212717182962 
501	 0.189238768529809 
502	 0.189430986575015 
503	 0.18955478703827 
504	 0.189696146967454 
505	 0.18986916743958 
506	 0.19001229178421 
507	 0.190054183485829 
508	 0.190108607267396 
509	 0.190234205436172 
510	 0.190224417634008 
511	 0.190354685558505 
512	 0.190566557123106 
513	 0.190640909043584 
514	 0.190655741354663 
515	 0.190712232202065 
516	 0.190859404916883 
517	 0.191069994554967 
518	 0.191166242011913 
519	 0.191186848521672 
520	 0.191245836418382 
521	 0.191411926345169 
522	 0.191533977619042 
523	 0.191580681331203 
524	 0.191657739170373 
525	 0.191789354376322 
526	 0.191872796389805 
527	 0.191857153713193 
528	 0.191950364652346 
529	 0.192024652372793 
530	 0.192065544463842 
531	 0.192134693193282 
532	 0.192245121229687 
533	 0.192389508364688 
534	 0.192531737402558 
535	 0.192574827928422 
536	 0.19264372423766 
537	 0.192751442219789 
538	 0.192863546392999 
539	 0.192959510931723 
540	 0.193024788542863 
541	 0.193075518026643 
542	 0.193166203062888 
543	 0.193233687971345 
544	 0.193340743264652 
545	 0.193512142749269 
546	 0.193476777228135 
547	 0.193480244040016 
548	 0.193582098711309 
549	 0.193674177241629 
550	 0.193801668201718 
551	 0.193933693959517 
552	 0.194047704930964 
553	 0.194180130832035 
554	 0.194261332294835 
555	 0.194325237606731 
556	 0.194451298372069 
557	 0.194591769156344 
558	 0.194705626355719 
559	 0.194788783868226 
560	 0.194901795316608 
561	 0.194980215831682 
562	 0.195012922305641 
563	 0.195034453973835 
564	 0.195215069372293 
565	 0.19536496152311 
566	 0.195419807712865 
567	 0.19547968786026 
568	 0.195639591356785 
569	 0.195868049555665 
570	 0.196096650159536 
571	 0.196273914868772 
572	 0.196348604492761 
573	 0.196407802997699 
574	 0.196608794506442 
575	 0.196641366751298 
576	 0.19671346689139 
577	 0.196930019943545 
578	 0.196993158247265 
579	 0.197023729211925 
580	 0.197097531163948 
581	 0.19726269859333 
582	 0.197453245823619 
583	 0.197690372484395 
584	 0.197924887281954 
585	 0.197996607786814 
586	 0.198046509447619 
587	 0.198118142066469 
588	 0.198216283175815 
589	 0.198308276830924 
590	 0.19840469806176 
591	 0.198503664923908 
592	 0.198593470762279 
593	 0.198735559879955 
594	 0.198839229321071 
595	 0.19886971716028 
596	 0.199016832160234 
597	 0.199213056110492 
598	 0.199405532619393 
599	 0.199552474714456 
600	 0.199664664488535 
601	 0.199767217118073 
602	 0.199865590738124 
603	 0.199930703133762 
604	 0.199913745280449 
605	 0.199934033228877 
606	 0.200108076098438 
607	 0.200184547868827 
608	 0.200240220885194 
609	 0.200343791239868 
610	 0.200529821187581 
611	 0.200700494072319 
612	 0.200836851496246 
613	 0.200941869241261 
614	 0.201011775197143 
615	 0.201103577480974 
616	 0.201230407763172 
617	 0.201367103893299 
618	 0.201449144261135 
619	 0.20149170110346 
620	 0.201527605836254 
621	 0.201599854819166 
622	 0.201662519724323 
623	 0.201722407149834 
624	 0.201800725947147 
625	 0.201861247461687 
626	 0.201949573728322 
627	 0.202059384029598 
628	 0.202108165309167 
629	 0.202200766321658 
630	 0.202276763752438 
631	 0.202282919018352 
632	 0.202380034557503 
633	 0.202435313594448 
634	 0.202449220018011 
635	 0.202529959624539 
636	 0.202610834374708 
637	 0.202682134640045 
638	 0.202740424399084 
639	 0.202770699643622 
640	 0.202801284445606 
641	 0.202881357181276 
642	 0.203035188424541 
643	 0.203036097012307 
644	 0.203039394137737 
645	 0.203127358533025 
646	 0.203224665607018 
647	 0.203271824850552 
648	 0.203305841398796 
649	 0.203372804628961 
650	 0.203410918029951 
651	 0.203463691546033 
652	 0.203528680873868 
653	 0.203565626680124 
654	 0.203645856434006 
655	 0.2036921202493 
656	 0.20367394212857 
657	 0.203742087106294 
658	 0.20384125558245 
659	 0.203923937736012 
660	 0.203953413987121 
661	 0.203966029321229 
662	 0.204042317457641 
663	 0.204177446785144 
664	 0.204241278650358 
665	 0.204257131428942 
666	 0.20427686919635 
667	 0.204335978293544 
668	 0.204349626632131 
669	 0.204390373077246 
670	 0.204475495990502 
671	 0.204568639964358 
672	 0.204599273538358 
673	 0.20464559005235 
674	 0.204744980203541 
675	 0.20477176103457 
676	 0.204813933189122 
677	 0.204851408008821 
678	 0.204840760839391 
679	 0.204914195729803 
680	 0.204971061041267 
681	 0.205006866161013 
682	 0.205168261206593 
683	 0.205203674041536 
684	 0.205205596417491 
685	 0.205296672530109 
686	 0.205360071479455 
687	 0.205428055529581 
688	 0.205494533576409 
689	 0.205529813023537 
690	 0.205575414486058 
691	 0.205591198776697 
692	 0.205586465787635 
693	 0.205701449423264 
694	 0.205760534148454 
695	 0.205778141695167 
696	 0.2058223827387 
697	 0.205835424889176 
698	 0.205877156067106 
699	 0.205969765721658 
700	 0.206086417447013 
701	 0.206124365672462 
702	 0.206151203385805 
703	 0.206221268609034 
704	 0.206240419379802 
705	 0.206242222113969 
706	 0.20626675300565 
707	 0.206339044847297 
708	 0.206321565784039 
709	 0.20635003309914 
710	 0.206455924327285 
711	 0.206480770768928 
712	 0.206501609779915 
