Wavelength	MM500000.asd
350	 5.68280506901113E-02 
351	 5.76100692993092E-02 
352	 5.25363102099964E-02 
353	 4.54463174721362E-02 
354	 4.94784901104321E-02 
355	 5.41935817659261E-02 
356	 5.82657005779615E-02 
357	 6.17298839685889E-02 
358	 5.90063062057768E-02 
359	 0.056597575393685 
360	 5.67805873744059E-02 
361	 5.84746885479617E-02 
362	 5.88831665862875E-02 
363	 5.77720185950091E-02 
364	 5.69345216373705E-02 
365	 6.13296915140185E-02 
366	 5.60048739422851E-02 
367	 0.050769518428538 
368	 5.62184190678348E-02 
369	 5.86115932968748E-02 
370	 0.058704225511494 
371	 5.92757946683861E-02 
372	 0.063462746113712 
373	 6.46357265761121E-02 
374	 6.31558154011803E-02 
375	 6.12636024888951E-02 
376	 6.26865951232722E-02 
377	 6.23479082581258E-02 
378	 6.29491493812415E-02 
379	 6.69895868093817E-02 
380	 6.63356949205516E-02 
381	 6.41367554300086E-02 
382	 6.40566445371455E-02 
383	 0.068825108452383 
384	 6.85902976812703E-02 
385	 6.59678112302799E-02 
386	 6.50970205822264E-02 
387	 6.97493624388632E-02 
388	 7.06426145697713E-02 
389	 6.99215433631304E-02 
390	 7.17748479223454E-02 
391	 7.06642531397311E-02 
392	 6.99167116030191E-02 
393	 0.071350837458208 
394	 7.48197841058639E-02 
395	 0.074928492643598 
396	 7.51973832412969E-02 
397	 7.77063578816418E-02 
398	 0.07829436324576 
399	 7.81293514736746E-02 
400	 7.80081500945741E-02 
401	 0.078462571813954 
402	 7.89696111749183E-02 
403	 7.88662566269171E-02 
404	 7.87735948176021E-02 
405	 8.04547031476143E-02 
406	 8.10811142523848E-02 
407	 8.07603085196404E-02 
408	 8.03181359268725E-02 
409	 8.07684969933976E-02 
410	 8.14713047079912E-02 
411	 8.18785578748699E-02 
412	 8.17093820763507E-02 
413	 8.22014235369898E-02 
414	 8.24158196004189E-02 
415	 8.22808867379228E-02 
416	 0.083077864917462 
417	 8.30360960530321E-02 
418	 8.25024118184066E-02 
419	 8.22225426114384E-02 
420	 8.25017293937525E-02 
421	 8.19724937751119E-02 
422	 8.14316979593378E-02 
423	 8.26972855531685E-02 
424	 8.24472357544645E-02 
425	 8.19572110824468E-02 
426	 0.082051281367336 
427	 0.081615563936432 
428	 8.13710215001494E-02 
429	 8.13372948002756E-02 
430	 8.13082769247673E-02 
431	 8.11070874926196E-02 
432	 8.10218622067487E-02 
433	 0.081111137461846 
434	 8.12021496318909E-02 
435	 8.15456289046665E-02 
436	 8.18453388581924E-02 
437	 8.19252053455469E-02 
438	 8.21740398451152E-02 
439	 8.25456447566392E-02 
440	 8.29719025192672E-02 
441	 8.33625038161653E-02 
442	 0.083564551405042 
443	 8.40901908366506E-02 
444	 8.48645061268422E-02 
445	 8.48338247553296E-02 
446	 8.51715432385866E-02 
447	 8.57071083741357E-02 
448	 8.60033211696489E-02 
449	 8.62023041376503E-02 
450	 8.66821639746857E-02 
451	 8.73308609568949E-02 
452	 8.76519772774509E-02 
453	 8.81044969493851E-02 
454	 8.83498092642907E-02 
455	 8.82659677743095E-02 
456	 8.85948351281079E-02 
457	 8.88339114514991E-02 
458	 8.89746967834472E-02 
459	 8.92052814608915E-02 
460	 8.94567331926572E-02 
461	 8.95627895536394E-02 
462	 8.95938209918036E-02 
463	 8.99578463978234E-02 
464	 9.03051673904298E-02 
465	 9.04782118628254E-02 
466	 9.04885022650811E-02 
467	 9.07452219649791E-02 
468	 9.12313244813688E-02 
469	 9.16523735791731E-02 
470	 9.15531926976293E-02 
471	 9.14265287879381E-02 
472	 0.091431494985076 
473	 9.15745454681405E-02 
474	 9.16462173115175E-02 
475	 9.19038549436848E-02 
476	 9.21234396772603E-02 
477	 9.19891499772559E-02 
478	 9.21555287933507E-02 
479	 9.22862700680626E-02 
